Dataset,Total_Statements,Number_of_Clusters,Diversity_Score,Silhouette_Score,trial,vectorization,sample_size,n_clusters,linkage,metric,tfidf_weight,pca_components,clustering_mode
Combined,43997,37,0.0164039071011839,0.11503696828240224,1,hybrid,250,37,complete,euclidean,0.5,32,combined
Combined,61499,52,0.24884219308614944,0.10001385018002795,2,hybrid,350,52,ward,euclidean,0.5,32,combined
Combined,86137,35,0.0031768242337197575,0.33970127084848845,3,tfidf,500,35,single,euclidean,,32,combined
Combined,86137,30,0.007041838109298522,0.4137211908000748,4,tfidf,500,30,average,euclidean,,64,combined
Combined,86137,50,0.002702463689548752,0.5070146096089356,5,tfidf,500,50,average,euclidean,,32,combined
Combined,43997,15,0.024110686004935093,0.3602525554429223,6,tfidf,250,15,single,euclidean,,48,combined
Combined,61499,21,0.012333815288450952,0.4719744185128044,7,hybrid,350,21,average,euclidean,0.7,48,combined
Combined,86137,50,0.007131149334949408,0.10526308382755517,8,hybrid,500,50,complete,euclidean,0.5,32,combined
Combined,86137,20,0.024330721220462478,0.10413489390030473,9,hybrid,500,20,complete,euclidean,0.5,48,combined
Combined,86137,25,0.008206725675620597,0.46239174993572724,10,hybrid,500,25,average,euclidean,0.7,48,combined
Combined,86137,75,0.05449292139831267,0.033684782683849335,11,dense,500,75,average,euclidean,,32,combined
Combined,43997,25,0.007871546096948732,0.06950118052044754,12,hybrid,250,25,average,euclidean,0.3,64,combined
Combined,43997,37,0.023456536701196403,0.032675001759380436,13,hybrid,250,37,ward,euclidean,0.7,64,combined
Combined,43997,25,0.008053500157730811,0.2967332320823738,14,hybrid,250,25,average,euclidean,0.5,64,combined
Combined,43997,17,0.018343968693258814,-0.09477578103542328,15,dense,250,17,single,euclidean,,32,combined
Combined,43997,25,0.024422325951930553,0.20928673032925157,16,hybrid,250,25,complete,euclidean,0.9,32,combined
Combined,43997,10,0.06455851017061336,0.04927057611524656,17,hybrid,250,10,complete,euclidean,0.3,48,combined
Combined,61499,24,0.008280953133432432,0.3860939391579602,18,hybrid,350,24,single,euclidean,0.7,48,combined
Combined,43997,10,0.09616523808855806,0.3769879586270733,19,tfidf,250,10,complete,euclidean,,32,combined
Combined,43997,17,0.019197595396379927,0.5118562401861839,20,hybrid,250,17,average,euclidean,0.9,64,combined
Combined,61499,52,0.022885424296814887,0.05458900724941525,21,hybrid,350,52,complete,euclidean,0.5,64,combined
Combined,61499,52,0.002365487856033814,0.4969339839126966,22,tfidf,350,52,average,euclidean,,32,combined
Combined,61499,14,0.027194773191640643,-0.06761156022548676,23,dense,350,14,single,euclidean,,48,combined
Combined,43997,25,0.4832500371474998,0.04573264345526695,24,dense,250,25,ward,euclidean,,64,combined
Combined,86137,75,0.00020697344078194607,0.2169972167214544,25,tfidf,500,75,single,euclidean,,48,combined
Combined,43997,25,0.04987969036933303,0.2801682124462548,26,tfidf,250,25,complete,euclidean,,64,combined
Combined,61499,52,0.0015728596411267526,0.37535560239750754,27,tfidf,350,52,average,euclidean,,64,combined
Combined,43997,12,0.036806080074930726,0.3998058535220044,28,tfidf,250,12,single,euclidean,,32,combined
Combined,86137,35,0.0029430645672750126,0.3655289385192046,29,hybrid,500,35,single,euclidean,0.7,64,combined
Combined,61499,35,0.003579862236657886,0.43327731166424993,30,hybrid,350,35,average,euclidean,0.7,48,combined
Combined,86137,20,0.017360481355709945,0.4414687157123333,31,tfidf,500,20,average,euclidean,,64,combined
Combined,86137,35,0.13045411830607717,0.22880781385470406,32,hybrid,500,35,ward,euclidean,0.7,32,combined
Combined,43997,37,0.004137194936776591,0.4431910612319439,33,tfidf,250,37,average,euclidean,,32,combined
Combined,43997,37,0.056058453440638055,0.3568179100756513,34,tfidf,250,37,complete,euclidean,,48,combined
Combined,86137,25,0.00830114754793792,0.5118317409543455,35,hybrid,500,25,average,euclidean,0.9,48,combined
Combined,61499,52,0.0015548828624638428,0.3764563435196072,36,tfidf,350,52,average,euclidean,,64,combined
Combined,43997,10,0.04982102798755256,-0.052471283823251724,37,dense,250,10,single,euclidean,,48,combined
Combined,86137,75,0.4854315470097684,0.022189365699887276,38,dense,500,75,complete,euclidean,,64,combined
Combined,86137,35,0.03803303242914139,0.03403259813785553,39,dense,500,35,average,euclidean,,48,combined
Combined,43997,37,0.013352040336666008,0.11182849085811003,40,hybrid,250,37,complete,euclidean,0.5,48,combined
Combined,43997,17,0.018648971373812658,0.4823939704570702,41,hybrid,250,17,single,euclidean,0.9,32,combined
Combined,43997,10,0.050249010784498054,0.1398730479259406,42,hybrid,250,10,average,euclidean,0.3,64,combined
Combined,43997,10,0.06127797009380685,0.2925380358083157,43,hybrid,250,10,complete,euclidean,0.9,48,combined
Combined,61499,17,0.04151432007626928,0.009686492383480072,44,dense,350,17,average,euclidean,,64,combined
Combined,61499,17,0.03178367426227359,0.2576554505552072,45,hybrid,350,17,complete,euclidean,0.7,32,combined
Combined,61499,35,0.00454008616661903,0.06789708330504834,46,hybrid,350,35,average,euclidean,0.3,32,combined
Combined,43997,12,0.04404224078783044,0.5560765700876877,47,tfidf,250,12,average,euclidean,,32,combined
Combined,43997,15,0.023745037094505983,0.08101885665471899,48,hybrid,250,15,single,euclidean,0.3,48,combined
Combined,61499,17,0.11641657642625573,0.01758829913769453,49,hybrid,350,17,ward,euclidean,0.3,64,combined
Combined,43997,37,0.0025919412175607046,0.22477636794256062,50,hybrid,250,37,single,euclidean,0.5,32,combined
Combined,86137,20,0.06823300627921601,0.046007055789232254,51,dense,500,20,average,euclidean,,48,combined
Combined,86137,75,0.03196524743564569,0.02442716620862484,52,dense,500,75,average,euclidean,,48,combined
Combined,61499,35,0.0030132405036873327,0.2773400532492399,53,tfidf,350,35,single,euclidean,,48,combined
Combined,43997,17,0.5415486852192579,0.06146768480539322,54,dense,250,17,ward,euclidean,,32,combined
Combined,86137,50,0.0229932412766308,0.2982799436780533,55,tfidf,500,50,complete,euclidean,,64,combined
Combined,43997,12,0.10374495372174788,0.32179043808974184,56,tfidf,250,12,ward,euclidean,,32,combined
Combined,86137,30,0.0045926905550256235,-0.10293655097484589,57,dense,500,30,single,euclidean,,48,combined
Combined,86137,35,0.01690118742189749,0.17386746361002184,58,hybrid,500,35,complete,euclidean,0.9,48,combined
Combined,61499,24,0.008280953133432432,0.3955496745067338,59,hybrid,350,24,single,euclidean,0.7,64,combined
Combined,43997,25,0.008084417038833431,0.27567645530303797,60,hybrid,250,25,average,euclidean,0.5,64,combined
Combined,86137,35,0.47565482383306046,0.022883057594299316,61,dense,500,35,complete,euclidean,,64,combined
Combined,43997,25,0.04840491629297392,0.40058237901306415,62,tfidf,250,25,complete,euclidean,,32,combined
Combined,86137,30,0.004688861166369011,0.24846997670634619,63,hybrid,500,30,single,euclidean,0.5,32,combined
Combined,43997,25,0.007625324755062123,0.4508530880903202,64,hybrid,250,25,single,euclidean,0.9,32,combined
Combined,61499,17,0.0647067545561682,0.22119502739052266,65,tfidf,350,17,ward,euclidean,,64,combined
Combined,43997,10,0.35228198615528694,0.0707344114780426,66,dense,250,10,ward,euclidean,,32,combined
