vectorization,linkage,metric,n_clusters,Diversity_Score
dense,complete,euclidean,37,0.5847577451536856
dense,complete,euclidean,25,0.5788022695492231
dense,ward,euclidean,24,0.5560990765764278
dense,ward,euclidean,17,0.5415486852192579
hybrid,ward,euclidean,75,0.5144582639200588
dense,ward,euclidean,35,0.5027851935525882
dense,complete,euclidean,75,0.4854315470097684
dense,ward,euclidean,25,0.4832500371474998
dense,complete,euclidean,35,0.47565482383306046
dense,ward,euclidean,10,0.35228198615528694
