Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,12093,24,11142,92.13594641528157,39.625,0.19632141292095184,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",1,dense,100,0.06,6,6,1.0,,32,combined
Combined,39060,201,20283,51.92780337941628,93.41791044776119,0.2829575876756691,48,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",2,hybrid,400,0.03,12,12,1.0,0.9,48,combined
Combined,12093,399,6784,56.0985694203258,13.30576441102757,0.38540819575523727,16,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",3,tfidf,100,0.04,5,2,0.5,,16,combined
Combined,30553,230,18763,61.411318037508586,51.26086956521739,0.48589459141177116,16,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",4,tfidf,300,0.03,9,9,1.0,,16,combined
Combined,21736,369,14680,67.53772543246227,19.121951219512194,0.1516451704294981,16,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",5,hybrid,200,0.02,5,2,0.5,0.7,16,combined
Combined,39060,12,37278,95.43778801843318,148.5,0.3598472476005554,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",6,dense,400,0.04,16,11,0.7,,16,combined
Combined,39060,203,21275,54.46748591909882,87.61083743842364,0.505792544912537,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",7,tfidf,400,0.05,20,10,0.5,,32,combined
Combined,12093,2,5927,49.01182502274043,3083.0,0.031873270869255066,48,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",8,dense,100,0.03,5,5,1.0,,48,combined
Combined,21736,9,20636,94.93927125506073,122.22222222222223,0.24383947253227234,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",9,dense,200,0.1,20,10,0.5,,32,combined
Combined,21736,180,19140,88.05668016194332,14.422222222222222,0.08302085846662521,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",10,dense,200,0.02,5,3,0.7,,32,combined
Combined,39060,166,21055,53.90424987199181,108.46385542168674,0.5138183435506863,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",11,tfidf,400,0.06,24,12,0.5,,32,combined
Combined,21736,2,4001,18.40725064409275,8867.5,-0.06480841338634491,16,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",12,dense,200,0.03,6,3,0.5,,16,combined
