HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 21736
Vectorization method: hybrid
Number of clusters: 369
Number of noise points: 14680 (67.5%)
Analysis type: clusters
Timestamp: 2025-05-27 15:43:49

Dataset Distribution:
  FoCus: 390 statements
  MPChat: 1341 statements
  MSC: 441 statements
  PEC: 11012 statements
  PER-CHAT: 7845 statements
  PersonaChat: 426 statements
  SyntheticPersonaChat: 281 statements

============================================================

Cluster Information:
  Cluster 33: 886 statements (persistence: 0.903)
  Cluster 360: 372 statements (persistence: 0.916)
  Cluster 131: 308 statements (persistence: 0.128)
  Cluster 91: 268 statements (persistence: 0.335)
  Cluster 59: 259 statements (persistence: 0.644)
  Cluster 359: 250 statements (persistence: 0.167)
  Cluster 215: 246 statements (persistence: 0.510)
  Cluster 188: 205 statements (persistence: 0.744)
  Cluster 340: 204 statements (persistence: 0.323)
  Cluster 164: 196 statements (persistence: 0.572)
  Cluster 181: 172 statements (persistence: 0.344)
  Cluster 82: 166 statements (persistence: 0.784)
  Cluster 321: 111 statements (persistence: 0.797)
  Cluster 364: 106 statements (persistence: 0.740)
  Cluster 367: 91 statements (persistence: 0.605)
  Cluster 290: 90 statements (persistence: 0.793)
  Cluster 353: 63 statements (persistence: 0.380)
  Cluster 124: 60 statements (persistence: 0.676)
  Cluster 286: 56 statements (persistence: 0.449)
  Cluster 107: 39 statements (persistence: 0.470)
  Cluster 361: 37 statements (persistence: 0.585)
  Cluster 120: 35 statements (persistence: 0.528)
  Cluster 283: 35 statements (persistence: 0.566)
  Cluster 268: 33 statements (persistence: 0.599)
  Cluster 282: 30 statements (persistence: 0.711)
  Cluster 265: 29 statements (persistence: 0.835)
  Cluster 302: 29 statements (persistence: 0.671)
  Cluster 89: 28 statements (persistence: 0.508)
  Cluster 173: 28 statements (persistence: 0.482)
  Cluster 232: 28 statements (persistence: 0.609)
  Cluster 324: 28 statements (persistence: 0.658)
  Cluster 330: 26 statements (persistence: 0.781)
  Cluster 52: 25 statements (persistence: 0.645)
  Cluster 119: 25 statements (persistence: 0.565)
  Cluster 226: 25 statements (persistence: 0.874)
  Cluster 358: 20 statements (persistence: 0.885)
  Cluster 175: 19 statements (persistence: 0.657)
  Cluster 86: 18 statements (persistence: 0.584)
  Cluster 228: 18 statements (persistence: 1.000)
  Cluster 350: 18 statements (persistence: 0.916)
  Cluster 72: 17 statements (persistence: 0.789)
  Cluster 266: 17 statements (persistence: 0.981)
  Cluster 303: 17 statements (persistence: 0.796)
  Cluster 309: 17 statements (persistence: 0.863)
  Cluster 121: 16 statements (persistence: 0.747)
  Cluster 241: 16 statements (persistence: 0.893)
  Cluster 271: 16 statements (persistence: 0.962)
  Cluster 305: 16 statements (persistence: 0.719)
  Cluster 344: 16 statements (persistence: 0.961)
  Cluster 187: 15 statements (persistence: 0.951)
  Cluster 237: 15 statements (persistence: 0.959)
  Cluster 281: 15 statements (persistence: 0.931)
  Cluster 337: 15 statements (persistence: 0.689)
  Cluster 179: 14 statements (persistence: 0.946)
  Cluster 335: 14 statements (persistence: 0.761)
  Cluster 343: 14 statements (persistence: 0.938)
  Cluster 348: 14 statements (persistence: 0.822)
  Cluster 90: 13 statements (persistence: 0.842)
  Cluster 92: 13 statements (persistence: 0.915)
  Cluster 130: 13 statements (persistence: 0.834)
  Cluster 155: 13 statements (persistence: 0.880)
  Cluster 178: 13 statements (persistence: 0.908)
  Cluster 289: 13 statements (persistence: 0.969)
  Cluster 352: 13 statements (persistence: 0.888)
  Cluster 18: 12 statements (persistence: 0.933)
  Cluster 166: 12 statements (persistence: 0.949)
  Cluster 198: 12 statements (persistence: 0.888)
  Cluster 202: 12 statements (persistence: 0.924)
  Cluster 247: 12 statements (persistence: 0.951)
  Cluster 295: 12 statements (persistence: 0.948)
  Cluster 338: 12 statements (persistence: 0.941)
  Cluster 8: 11 statements (persistence: 0.967)
  Cluster 41: 11 statements (persistence: 0.974)
  Cluster 55: 11 statements (persistence: 0.941)
  Cluster 66: 11 statements (persistence: 0.978)
  Cluster 71: 11 statements (persistence: 0.979)
  Cluster 213: 11 statements (persistence: 0.949)
  Cluster 254: 11 statements (persistence: 0.967)
  Cluster 262: 11 statements (persistence: 0.941)
  Cluster 310: 11 statements (persistence: 0.849)
  Cluster 19: 10 statements (persistence: 0.989)
  Cluster 49: 10 statements (persistence: 0.934)
  Cluster 75: 10 statements (persistence: 0.764)
  Cluster 88: 10 statements (persistence: 0.760)
  Cluster 129: 10 statements (persistence: 0.977)
  Cluster 168: 10 statements (persistence: 0.967)
  Cluster 169: 10 statements (persistence: 0.921)
  Cluster 231: 10 statements (persistence: 0.980)
  Cluster 253: 10 statements (persistence: 0.863)
  Cluster 261: 10 statements (persistence: 0.929)
  Cluster 311: 10 statements (persistence: 0.972)
  Cluster 312: 10 statements (persistence: 0.999)
  Cluster 314: 10 statements (persistence: 0.980)
  Cluster 318: 10 statements (persistence: 0.968)
  Cluster 323: 10 statements (persistence: 0.992)
  Cluster 6: 9 statements (persistence: 0.994)
  Cluster 28: 9 statements (persistence: 0.979)
  Cluster 48: 9 statements (persistence: 0.777)
  Cluster 60: 9 statements (persistence: 0.837)
  Cluster 139: 9 statements (persistence: 0.982)
  Cluster 143: 9 statements (persistence: 0.999)
  Cluster 158: 9 statements (persistence: 0.985)
  Cluster 160: 9 statements (persistence: 0.987)
  Cluster 223: 9 statements (persistence: 0.766)
  Cluster 238: 9 statements (persistence: 0.984)
  Cluster 256: 9 statements (persistence: 0.955)
  Cluster 273: 9 statements (persistence: 0.977)
  Cluster 288: 9 statements (persistence: 0.911)
  Cluster 297: 9 statements (persistence: 0.970)
  Cluster 333: 9 statements (persistence: 0.980)
  Cluster 342: 9 statements (persistence: 0.958)
  Cluster 3: 8 statements (persistence: 0.978)
  Cluster 29: 8 statements (persistence: 1.000)
  Cluster 44: 8 statements (persistence: 0.985)
  Cluster 56: 8 statements (persistence: 0.899)
  Cluster 61: 8 statements (persistence: 0.953)
  Cluster 84: 8 statements (persistence: 0.976)
  Cluster 96: 8 statements (persistence: 0.983)
  Cluster 100: 8 statements (persistence: 0.934)
  Cluster 101: 8 statements (persistence: 0.912)
  Cluster 102: 8 statements (persistence: 0.932)
  Cluster 106: 8 statements (persistence: 0.951)
  Cluster 112: 8 statements (persistence: 0.910)
  Cluster 122: 8 statements (persistence: 0.988)
  Cluster 142: 8 statements (persistence: 0.877)
  Cluster 144: 8 statements (persistence: 0.979)
  Cluster 147: 8 statements (persistence: 0.978)
  Cluster 174: 8 statements (persistence: 0.962)
  Cluster 182: 8 statements (persistence: 0.930)
  Cluster 184: 8 statements (persistence: 0.975)
  Cluster 212: 8 statements (persistence: 0.996)
  Cluster 217: 8 statements (persistence: 0.989)
  Cluster 219: 8 statements (persistence: 0.990)
  Cluster 225: 8 statements (persistence: 0.963)
  Cluster 227: 8 statements (persistence: 0.998)
  Cluster 236: 8 statements (persistence: 0.948)
  Cluster 255: 8 statements (persistence: 0.978)
  Cluster 258: 8 statements (persistence: 0.959)
  Cluster 272: 8 statements (persistence: 0.996)
  Cluster 287: 8 statements (persistence: 0.966)
  Cluster 291: 8 statements (persistence: 0.991)
  Cluster 298: 8 statements (persistence: 0.978)
  Cluster 299: 8 statements (persistence: 0.958)
  Cluster 320: 8 statements (persistence: 0.962)
  Cluster 328: 8 statements (persistence: 0.994)
  Cluster 354: 8 statements (persistence: 0.998)
  Cluster 1: 7 statements (persistence: 0.981)
  Cluster 16: 7 statements (persistence: 0.963)
  Cluster 36: 7 statements (persistence: 0.958)
  Cluster 37: 7 statements (persistence: 0.970)
  Cluster 57: 7 statements (persistence: 0.991)
  Cluster 58: 7 statements (persistence: 0.927)
  Cluster 63: 7 statements (persistence: 0.999)
  Cluster 64: 7 statements (persistence: 0.996)
  Cluster 67: 7 statements (persistence: 0.990)
  Cluster 81: 7 statements (persistence: 1.000)
  Cluster 85: 7 statements (persistence: 1.000)
  Cluster 87: 7 statements (persistence: 0.977)
  Cluster 98: 7 statements (persistence: 1.000)
  Cluster 103: 7 statements (persistence: 0.939)
  Cluster 111: 7 statements (persistence: 1.000)
  Cluster 132: 7 statements (persistence: 1.000)
  Cluster 133: 7 statements (persistence: 0.959)
  Cluster 135: 7 statements (persistence: 0.986)
  Cluster 150: 7 statements (persistence: 1.000)
  Cluster 152: 7 statements (persistence: 0.986)
  Cluster 161: 7 statements (persistence: 0.993)
  Cluster 165: 7 statements (persistence: 0.929)
  Cluster 167: 7 statements (persistence: 0.983)
  Cluster 177: 7 statements (persistence: 0.990)
  Cluster 192: 7 statements (persistence: 0.992)
  Cluster 194: 7 statements (persistence: 0.984)
  Cluster 195: 7 statements (persistence: 0.986)
  Cluster 201: 7 statements (persistence: 0.971)
  Cluster 210: 7 statements (persistence: 0.981)
  Cluster 216: 7 statements (persistence: 0.997)
  Cluster 230: 7 statements (persistence: 0.975)
  Cluster 239: 7 statements (persistence: 0.944)
