HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 21736
Vectorization method: dense
Number of clusters: 180
Number of noise points: 19140 (88.1%)
Analysis type: clusters
Timestamp: 2025-05-27 15:48:48

Dataset Distribution:
  FoCus: 390 statements
  MPChat: 1341 statements
  MSC: 441 statements
  PEC: 11012 statements
  PER-CHAT: 7845 statements
  PersonaChat: 426 statements
  SyntheticPersonaChat: 281 statements

============================================================

Cluster Information:
  Cluster 178: 586 statements (persistence: 0.981)
  Cluster 122: 277 statements (persistence: 0.960)
  Cluster 173: 55 statements (persistence: 0.588)
  Cluster 163: 50 statements (persistence: 0.961)
  Cluster 175: 48 statements (persistence: 0.933)
  Cluster 109: 46 statements (persistence: 0.980)
  Cluster 155: 45 statements (persistence: 0.888)
  Cluster 136: 43 statements (persistence: 0.831)
  Cluster 150: 43 statements (persistence: 0.652)
  Cluster 126: 36 statements (persistence: 0.922)
  Cluster 86: 30 statements (persistence: 0.980)
  Cluster 113: 28 statements (persistence: 0.917)
  Cluster 148: 28 statements (persistence: 0.797)
  Cluster 169: 23 statements (persistence: 0.770)
  Cluster 171: 22 statements (persistence: 0.837)
  Cluster 79: 21 statements (persistence: 0.834)
  Cluster 112: 18 statements (persistence: 0.923)
  Cluster 121: 18 statements (persistence: 0.904)
  Cluster 124: 18 statements (persistence: 0.896)
  Cluster 168: 18 statements (persistence: 0.961)
  Cluster 46: 17 statements (persistence: 0.976)
  Cluster 88: 16 statements (persistence: 1.000)
  Cluster 133: 16 statements (persistence: 0.961)
  Cluster 94: 15 statements (persistence: 0.960)
  Cluster 55: 14 statements (persistence: 0.979)
  Cluster 82: 14 statements (persistence: 0.979)
  Cluster 128: 14 statements (persistence: 0.955)
  Cluster 161: 14 statements (persistence: 0.974)
  Cluster 49: 13 statements (persistence: 0.945)
  Cluster 119: 13 statements (persistence: 0.924)
  Cluster 13: 12 statements (persistence: 0.965)
  Cluster 47: 12 statements (persistence: 0.982)
  Cluster 65: 12 statements (persistence: 0.967)
  Cluster 95: 12 statements (persistence: 0.983)
  Cluster 146: 12 statements (persistence: 0.930)
  Cluster 28: 11 statements (persistence: 0.974)
  Cluster 115: 11 statements (persistence: 0.937)
  Cluster 153: 11 statements (persistence: 0.959)
  Cluster 104: 10 statements (persistence: 0.990)
  Cluster 110: 10 statements (persistence: 0.966)
  Cluster 135: 10 statements (persistence: 0.948)
  Cluster 166: 10 statements (persistence: 0.920)
  Cluster 16: 9 statements (persistence: 0.996)
  Cluster 67: 9 statements (persistence: 0.986)
  Cluster 78: 9 statements (persistence: 0.982)
  Cluster 89: 9 statements (persistence: 0.981)
  Cluster 116: 9 statements (persistence: 0.995)
  Cluster 120: 9 statements (persistence: 0.936)
  Cluster 130: 9 statements (persistence: 0.989)
