HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 46737
Vectorization method: tfidf
Number of clusters: 267
Number of noise points: 28018 (59.9%)
Analysis type: clusters
Timestamp: 2025-05-27 16:15:59

Dataset Distribution:
  FoCus: 702 statements
  MPChat: 2684 statements
  MSC: 893 statements
  PEC: 23698 statements
  PER-CHAT: 17615 statements
  PersonaChat: 786 statements
  SyntheticPersonaChat: 359 statements

============================================================

Cluster Information:
  Cluster 265: 3493 statements (persistence: 0.285)
  Cluster 71: 942 statements (persistence: 1.000)
  Cluster 171: 355 statements (persistence: 0.238)
  Cluster 78: 297 statements (persistence: 0.405)
  Cluster 167: 287 statements (persistence: 0.240)
  Cluster 123: 269 statements (persistence: 0.195)
  Cluster 183: 262 statements (persistence: 0.273)
  Cluster 89: 212 statements (persistence: 0.995)
  Cluster 82: 210 statements (persistence: 0.345)
  Cluster 51: 206 statements (persistence: 0.332)
  Cluster 173: 205 statements (persistence: 0.318)
  Cluster 132: 201 statements (persistence: 0.730)
  Cluster 172: 201 statements (persistence: 0.321)
  Cluster 164: 200 statements (persistence: 0.381)
  Cluster 237: 191 statements (persistence: 0.224)
  Cluster 86: 188 statements (persistence: 0.245)
  Cluster 136: 186 statements (persistence: 0.351)
  Cluster 129: 182 statements (persistence: 0.262)
  Cluster 192: 167 statements (persistence: 0.451)
  Cluster 168: 160 statements (persistence: 0.813)
  Cluster 101: 158 statements (persistence: 0.460)
  Cluster 219: 144 statements (persistence: 0.553)
  Cluster 229: 142 statements (persistence: 0.527)
  Cluster 90: 134 statements (persistence: 0.398)
  Cluster 1: 128 statements (persistence: 0.407)
  Cluster 251: 125 statements (persistence: 0.664)
  Cluster 52: 122 statements (persistence: 0.372)
  Cluster 225: 117 statements (persistence: 0.991)
  Cluster 134: 115 statements (persistence: 0.496)
  Cluster 220: 114 statements (persistence: 0.561)
  Cluster 221: 114 statements (persistence: 0.577)
  Cluster 4: 109 statements (persistence: 0.533)
  Cluster 187: 108 statements (persistence: 0.857)
  Cluster 214: 108 statements (persistence: 1.000)
  Cluster 127: 100 statements (persistence: 0.410)
  Cluster 155: 99 statements (persistence: 0.451)
  Cluster 139: 98 statements (persistence: 0.542)
  Cluster 215: 97 statements (persistence: 0.619)
  Cluster 201: 96 statements (persistence: 0.596)
  Cluster 81: 94 statements (persistence: 0.463)
  Cluster 113: 94 statements (persistence: 0.370)
  Cluster 166: 94 statements (persistence: 0.549)
  Cluster 98: 93 statements (persistence: 0.446)
  Cluster 202: 89 statements (persistence: 0.551)
  Cluster 117: 82 statements (persistence: 0.407)
  Cluster 249: 82 statements (persistence: 0.578)
  Cluster 23: 81 statements (persistence: 0.492)
  Cluster 59: 81 statements (persistence: 0.460)
  Cluster 109: 79 statements (persistence: 0.533)
  Cluster 206: 76 statements (persistence: 0.657)
  Cluster 35: 74 statements (persistence: 0.455)
  Cluster 68: 74 statements (persistence: 0.405)
  Cluster 95: 74 statements (persistence: 0.579)
  Cluster 79: 73 statements (persistence: 0.821)
  Cluster 161: 72 statements (persistence: 0.613)
  Cluster 228: 70 statements (persistence: 0.686)
  Cluster 80: 68 statements (persistence: 0.452)
  Cluster 236: 67 statements (persistence: 0.538)
  Cluster 157: 66 statements (persistence: 0.590)
  Cluster 116: 65 statements (persistence: 0.437)
  Cluster 199: 64 statements (persistence: 0.600)
  Cluster 146: 63 statements (persistence: 0.527)
  Cluster 147: 63 statements (persistence: 0.609)
  Cluster 137: 62 statements (persistence: 0.408)
  Cluster 197: 62 statements (persistence: 0.702)
  Cluster 151: 61 statements (persistence: 0.804)
  Cluster 250: 61 statements (persistence: 0.694)
  Cluster 40: 60 statements (persistence: 0.522)
  Cluster 144: 60 statements (persistence: 0.451)
  Cluster 26: 59 statements (persistence: 0.966)
  Cluster 222: 59 statements (persistence: 0.694)
  Cluster 66: 58 statements (persistence: 0.473)
  Cluster 83: 57 statements (persistence: 1.000)
  Cluster 230: 57 statements (persistence: 0.841)
  Cluster 158: 55 statements (persistence: 0.546)
  Cluster 2: 54 statements (persistence: 0.981)
  Cluster 180: 54 statements (persistence: 0.740)
  Cluster 233: 54 statements (persistence: 0.640)
  Cluster 102: 53 statements (persistence: 0.835)
  Cluster 128: 53 statements (persistence: 0.623)
  Cluster 169: 53 statements (persistence: 1.000)
  Cluster 29: 52 statements (persistence: 0.714)
  Cluster 210: 52 statements (persistence: 0.674)
  Cluster 212: 52 statements (persistence: 0.730)
  Cluster 241: 52 statements (persistence: 0.789)
  Cluster 57: 51 statements (persistence: 0.571)
  Cluster 118: 50 statements (persistence: 0.495)
  Cluster 174: 50 statements (persistence: 0.624)
  Cluster 205: 49 statements (persistence: 0.718)
  Cluster 244: 49 statements (persistence: 0.838)
  Cluster 165: 48 statements (persistence: 0.574)
  Cluster 185: 47 statements (persistence: 0.724)
  Cluster 61: 46 statements (persistence: 0.744)
  Cluster 99: 46 statements (persistence: 0.674)
  Cluster 114: 46 statements (persistence: 0.509)
  Cluster 247: 46 statements (persistence: 0.758)
  Cluster 91: 45 statements (persistence: 0.599)
  Cluster 143: 45 statements (persistence: 0.605)
  Cluster 8: 44 statements (persistence: 0.873)
  Cluster 15: 44 statements (persistence: 0.519)
  Cluster 36: 44 statements (persistence: 1.000)
  Cluster 120: 43 statements (persistence: 0.517)
  Cluster 196: 43 statements (persistence: 0.874)
  Cluster 28: 42 statements (persistence: 0.629)
  Cluster 47: 42 statements (persistence: 0.611)
  Cluster 69: 42 statements (persistence: 0.569)
  Cluster 194: 42 statements (persistence: 0.835)
  Cluster 204: 42 statements (persistence: 0.900)
  Cluster 218: 42 statements (persistence: 0.882)
  Cluster 227: 42 statements (persistence: 0.866)
  Cluster 18: 41 statements (persistence: 0.583)
  Cluster 133: 40 statements (persistence: 1.000)
  Cluster 189: 40 statements (persistence: 0.751)
  Cluster 191: 40 statements (persistence: 1.000)
  Cluster 224: 40 statements (persistence: 0.803)
  Cluster 245: 40 statements (persistence: 0.842)
  Cluster 64: 39 statements (persistence: 0.815)
  Cluster 213: 39 statements (persistence: 0.749)
  Cluster 19: 38 statements (persistence: 0.575)
  Cluster 34: 38 statements (persistence: 0.614)
  Cluster 93: 38 statements (persistence: 0.586)
  Cluster 257: 38 statements (persistence: 0.871)
  Cluster 56: 37 statements (persistence: 0.750)
  Cluster 135: 37 statements (persistence: 0.946)
  Cluster 145: 37 statements (persistence: 0.655)
  Cluster 238: 37 statements (persistence: 0.858)
  Cluster 243: 37 statements (persistence: 0.836)
