trial,vectorization,sample_size,min_cluster_size,min_samples,min_samples_ratio,avg_clusters,avg_noise_percentage,avg_silhouette,avg_cluster_size,total_datasets,successful_datasets
1,dense,100,6,6,1.0,24.0,92.13594641528157,0.19632141292095184,39.625,1,1
2,hybrid,400,12,12,1.0,201.0,51.92780337941628,0.2829575876756691,93.41791044776119,1,1
3,tfidf,100,5,2,0.5,399.0,56.0985694203258,0.38540819575523727,13.30576441102757,1,1
4,tfidf,300,9,9,1.0,230.0,61.411318037508586,0.48589459141177116,51.26086956521739,1,1
5,hybrid,200,5,2,0.5,369.0,67.53772543246227,0.1516451704294981,19.121951219512194,1,1
6,dense,400,16,11,0.7,12.0,95.43778801843318,0.3598472476005554,148.5,1,1
7,tfidf,400,20,10,0.5,203.0,54.46748591909882,0.505792544912537,87.61083743842364,1,1
8,dense,100,5,5,1.0,2.0,49.01182502274043,0.031873270869255066,3083.0,1,1
9,dense,200,20,10,0.5,9.0,94.93927125506073,0.24383947253227234,122.22222222222223,1,1
10,dense,200,5,3,0.7,180.0,88.05668016194332,0.08302085846662521,14.422222222222222,1,1
11,tfidf,400,24,12,0.5,166.0,53.90424987199181,0.5138183435506863,108.46385542168674,1,1
12,dense,200,6,3,0.5,2.0,18.40725064409275,-0.06480841338634491,8867.5,1,1
13,tfidf,200,8,8,1.0,263.0,57.37946264262054,0.5107485076623698,35.22433460076046,1,1
14,tfidf,200,10,10,1.0,201.0,57.310452705189554,0.5133800311797961,46.16417910447761,1,1
15,tfidf,300,6,3,0.5,788.0,54.1027067718391,0.45373406222838475,17.79568527918782,1,1
16,dense,100,10,5,0.5,20.0,91.67286860167039,0.24229338765144348,50.35,1,1
17,dense,200,6,4,0.7,2.0,53.45969819654031,0.013445338234305382,5058.0,1,1
18,dense,100,6,4,0.7,42.0,90.75498222111965,0.10661251842975616,26.61904761904762,1,1
19,tfidf,200,20,20,1.0,75.0,51.168568273831426,0.4889646932944557,141.52,1,1
20,dense,500,10,5,0.5,32.0,94.44337462823886,0.1522909700870514,81.15625,1,1
21,hybrid,100,5,2,0.5,333.0,49.51624906970975,0.22270653021917364,18.333333333333332,1,1
22,tfidf,500,10,7,0.7,543.0,58.97040888375377,0.509325884190731,35.31491712707182,1,1
23,tfidf,300,15,10,0.7,154.0,57.290609760089026,0.4802439336730557,84.73376623376623,1,1
24,dense,500,15,15,1.0,10.0,95.52816826069281,0.36486196517944336,209.0,1,1
25,dense,500,50,50,1.0,4.0,96.90395190106341,0.3269927203655243,361.75,1,1
26,tfidf,400,40,40,1.0,66.0,50.903737839221705,0.5000032311650132,290.56060606060606,1,1
27,tfidf,400,12,6,0.5,265.0,63.952892985151045,0.4641806733809024,53.132075471698116,1,1
28,hybrid,300,30,21,0.7,34.0,79.9725067914771,0.26855100590267456,179.97058823529412,1,1
29,hybrid,400,40,28,0.7,69.0,50.184331797235025,0.3532796694422177,282.0,1,1
30,hybrid,400,24,24,1.0,106.0,48.023553507424474,0.325113821639825,191.52830188679246,1,1
31,dense,100,6,4,0.7,42.0,90.75498222111965,0.10661251842975616,26.61904761904762,1,1
32,dense,200,10,5,0.5,24.0,93.21862348178138,0.16139981150627136,61.416666666666664,1,1
33,hybrid,400,20,14,0.7,22.0,82.78801843317972,0.2916589430196323,305.59090909090907,1,1
34,hybrid,400,12,8,0.7,105.0,64.0757808499744,0.19587395503434335,133.63809523809525,1,1
35,tfidf,500,15,15,1.0,267.0,59.94822089565013,0.5393347820602826,70.10861423220973,1,1
36,tfidf,300,6,3,0.5,792.0,53.62484862370307,0.4399821481212276,17.890151515151516,1,1
37,tfidf,100,5,3,0.7,353.0,54.64318200611924,0.4697167879763532,15.538243626062323,1,1
38,dense,500,30,30,1.0,4.0,96.60012409867986,0.2996765077114105,397.25,1,1
39,tfidf,200,10,5,0.5,242.0,54.218807508281195,0.48851083506362886,41.1198347107438,1,1
40,dense,200,8,8,1.0,19.0,94.36418844313582,0.21854856610298157,64.47368421052632,1,1
41,dense,100,10,7,0.7,2.0,71.12379062267428,0.04223991557955742,1746.0,1,1
42,hybrid,500,20,14,0.7,77.0,62.24618610522712,0.25878584795809734,229.15584415584416,1,1
43,tfidf,300,18,18,1.0,159.0,56.94039865152358,0.5268804199099142,82.74213836477988,1,1
44,tfidf,300,15,7,0.5,221.0,55.968317350178374,0.5033077380843766,60.873303167420815,1,1
45,dense,500,50,50,1.0,3.0,94.87344074288038,0.18504364788532257,798.6666666666666,1,1
46,hybrid,400,16,8,0.5,25.0,95.02560163850487,0.2763886631309089,77.72,1,1
47,tfidf,400,16,16,1.0,208.0,59.57501280081925,0.5635256662404511,75.91346153846153,1,1
48,tfidf,500,30,30,1.0,144.0,55.40792091918608,0.5310002484890961,144.72916666666666,1,1
49,dense,300,15,15,1.0,11.0,95.768009688083,0.257638543844223,117.54545454545455,1,1
50,hybrid,100,5,2,0.5,332.0,49.55759530306789,0.23208935626977498,18.373493975903614,1,1
51,hybrid,300,9,9,1.0,36.0,93.82712008640722,0.16601984802629777,52.388888888888886,1,1
52,hybrid,400,16,11,0.7,17.0,93.60983102918587,0.2225204799972208,146.8235294117647,1,1
53,hybrid,200,10,7,0.7,44.0,93.0944055944056,0.15982393637503844,34.11363636363637,1,1
54,tfidf,200,10,10,1.0,155.0,58.433014354066984,0.49636508727274514,58.29032258064516,1,1
55,tfidf,100,10,7,0.7,130.0,49.19374844951625,0.5052853706780933,47.261538461538464,1,1
56,tfidf,100,5,3,0.7,330.0,59.968576862647815,0.4435578281355573,14.66969696969697,1,1
57,dense,500,50,50,1.0,3.0,94.87344074288038,0.18504364788532257,798.6666666666666,1,1
58,dense,100,5,3,0.7,2.0,26.163896469031673,0.010171244852244854,4464.5,1,1
59,tfidf,300,12,6,0.5,211.0,58.59981016594114,0.4433641517227043,59.947867298578196,1,1
60,tfidf,300,6,4,0.7,675.0,55.81448630249075,0.45769244927411845,20.0,1,1
61,tfidf,300,12,12,1.0,231.0,58.403430105063336,0.5401484266904704,55.01731601731602,1,1
62,dense,500,20,10,0.5,11.0,95.31206538716648,0.24443311989307404,199.1818181818182,1,1
63,hybrid,100,10,10,1.0,29.0,67.9401306540974,0.3095490313118325,133.68965517241378,1,1
64,tfidf,300,15,7,0.5,215.0,49.906719471083036,0.4737182753261945,71.18604651162791,1,1
65,dense,500,30,30,1.0,5.0,96.88897447418533,0.2991393506526947,290.8,1,1
66,dense,500,15,7,0.5,19.0,95.47253781800286,0.19573795795440674,111.36842105263158,1,1
67,hybrid,300,30,15,0.5,76.0,44.00222564068994,0.33405218797121283,225.1184210526316,1,1
68,tfidf,200,5,5,1.0,562.0,58.37780640412219,0.5211199731241606,16.097864768683273,1,1
69,dense,300,9,4,0.5,46.0,92.66520472621347,0.12504656612873077,48.71739130434783,1,1
70,tfidf,500,30,15,0.5,114.0,60.03594582450735,0.5155417697754192,163.8421052631579,1,1
71,hybrid,400,16,16,1.0,35.0,69.40348182283667,0.33315337273254525,341.45714285714286,1,1
72,hybrid,500,30,30,1.0,19.0,84.54757472666195,0.3158438566207417,380.10526315789474,1,1
73,dense,500,15,10,0.7,15.0,95.42332627254638,0.2371177226305008,142.6,1,1
74,hybrid,100,5,2,0.5,336.0,47.5398991151906,0.22019004189475172,18.88095238095238,1,1
75,tfidf,200,5,3,0.7,690.0,55.14354066985646,0.48081772642918497,14.130434782608695,1,1
76,hybrid,400,20,20,1.0,124.0,47.99283154121864,0.323004037818073,163.82258064516128,1,1
77,dense,400,12,6,0.5,3.0,71.65130568356375,-0.05481771007180214,3691.0,1,1
78,dense,400,12,12,1.0,13.0,95.45826932923707,0.2367011457681656,136.46153846153845,1,1
79,tfidf,300,18,18,1.0,116.0,59.65371649265211,0.5367976589188994,106.26724137931035,1,1
80,hybrid,300,9,4,0.5,58.0,83.1145877655222,0.19474440867440673,88.94827586206897,1,1
81,hybrid,400,24,12,0.5,16.0,93.55606758832565,0.23190649808033625,157.3125,1,1
82,hybrid,100,5,5,1.0,62.0,89.10940213346564,0.19089049041122189,21.241935483870968,1,1
83,hybrid,500,30,21,0.7,109.0,48.91413655134048,0.3236405946912457,219.045871559633,1,1
84,dense,100,5,2,0.5,327.0,73.2159100305962,0.08594798296689987,9.905198776758409,1,1
85,hybrid,300,6,3,0.5,582.0,48.72843910581612,0.1919407922852223,26.915807560137456,1,1
86,hybrid,100,10,7,0.7,60.0,60.26626974282643,0.26464912130492496,80.08333333333333,1,1
