Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
PersonaChat,981,9,599,61.060142711518864,42.44444444444444,0.4981066805026407,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
SyntheticPersonaChat,1045,14,624,59.71291866028709,30.071428571428573,0.6101180296826153,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
MSC,1898,25,1075,56.63856691253951,32.92,0.4784456405461382,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
PEC,33064,234,17533,53.02746189208807,66.37179487179488,0.5408228623629162,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
FoCus,1270,21,532,41.88976377952756,35.142857142857146,0.6331627240063407,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
MPChat,4177,45,1811,43.35647593966962,52.577777777777776,0.43298269362758285,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
PER-CHAT,26941,97,17082,63.40521881147693,101.63917525773196,0.4934765295898053,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
PersonaChat,981,5,624,63.608562691131496,71.4,0.399282859168062,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
SyntheticPersonaChat,1045,4,740,70.81339712918661,76.25,0.44380016259249677,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
MSC,1898,10,936,49.31506849315068,96.2,0.20833916879976278,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
PEC,33064,90,14459,43.73034115654488,206.72222222222223,0.3236121765118892,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
FoCus,1270,8,614,48.346456692913385,82.0,0.4254822731530848,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
MPChat,4177,32,2034,48.69523581517836,66.96875,0.3566918042537877,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
PER-CHAT,26941,48,17581,65.25741434987566,195.0,0.35590845615377525,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
PersonaChat,981,0,981,100.0,0.0,-1.0,48,3,dense,750,0.1,75,52,0.7,,48,separate
SyntheticPersonaChat,1045,0,1045,100.0,0.0,-1.0,48,3,dense,750,0.1,75,52,0.7,,48,separate
MSC,1898,2,1694,89.2518440463646,102.0,0.18574078381061554,48,3,dense,750,0.1,75,52,0.7,,48,separate
PEC,33064,3,32210,97.41713041374305,284.6666666666667,0.12973275780677795,48,3,dense,750,0.1,75,52,0.7,,48,separate
FoCus,1270,0,1270,100.0,0.0,-1.0,48,3,dense,750,0.1,75,52,0.7,,48,separate
MPChat,4177,2,3825,91.5728992099593,176.0,0.13356514275074005,48,3,dense,750,0.1,75,52,0.7,,48,separate
