HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 33064
Vectorization method: tfidf
Number of clusters: 195
Number of noise points: 17643 (53.4%)
Analysis type: clusters
Timestamp: 2025-05-27 16:37:02

Dataset Distribution:
  PEC: 33064 statements

============================================================

Cluster Information:
  Cluster 193: 1724 statements (persistence: 0.373)
  Cluster 27: 297 statements (persistence: 0.211)
  Cluster 26: 247 statements (persistence: 0.228)
  Cluster 14: 238 statements (persistence: 0.231)
  Cluster 7: 237 statements (persistence: 0.432)
  Cluster 150: 212 statements (persistence: 1.000)
  Cluster 134: 209 statements (persistence: 0.342)
  Cluster 77: 206 statements (persistence: 0.376)
  Cluster 137: 203 statements (persistence: 0.323)
  Cluster 169: 197 statements (persistence: 0.438)
  Cluster 5: 192 statements (persistence: 0.312)
  Cluster 36: 191 statements (persistence: 0.310)
  Cluster 43: 190 statements (persistence: 0.318)
  Cluster 45: 189 statements (persistence: 0.276)
  Cluster 149: 182 statements (persistence: 0.419)
  Cluster 0: 181 statements (persistence: 0.219)
  Cluster 11: 180 statements (persistence: 0.346)
  Cluster 102: 176 statements (persistence: 0.381)
  Cluster 148: 172 statements (persistence: 0.403)
  Cluster 122: 165 statements (persistence: 0.413)
  Cluster 52: 159 statements (persistence: 0.327)
  Cluster 79: 159 statements (persistence: 0.346)
  Cluster 47: 158 statements (persistence: 0.361)
  Cluster 133: 151 statements (persistence: 0.381)
  Cluster 135: 150 statements (persistence: 0.521)
  Cluster 113: 136 statements (persistence: 0.455)
  Cluster 168: 133 statements (persistence: 1.000)
  Cluster 30: 130 statements (persistence: 0.443)
  Cluster 32: 130 statements (persistence: 0.413)
  Cluster 58: 124 statements (persistence: 0.390)
  Cluster 115: 120 statements (persistence: 0.463)
  Cluster 120: 112 statements (persistence: 0.527)
  Cluster 20: 110 statements (persistence: 0.531)
  Cluster 48: 110 statements (persistence: 0.345)
  Cluster 110: 110 statements (persistence: 0.414)
  Cluster 37: 109 statements (persistence: 0.483)
  Cluster 61: 109 statements (persistence: 0.490)
  Cluster 106: 109 statements (persistence: 0.457)
  Cluster 145: 109 statements (persistence: 0.480)
  Cluster 31: 105 statements (persistence: 0.494)
  Cluster 53: 104 statements (persistence: 0.506)
  Cluster 64: 103 statements (persistence: 0.429)
  Cluster 83: 100 statements (persistence: 0.606)
  Cluster 121: 100 statements (persistence: 0.440)
  Cluster 44: 97 statements (persistence: 0.534)
  Cluster 69: 97 statements (persistence: 0.437)
  Cluster 164: 97 statements (persistence: 0.606)
  Cluster 180: 97 statements (persistence: 0.744)
  Cluster 129: 96 statements (persistence: 0.531)
  Cluster 86: 94 statements (persistence: 0.583)
  Cluster 60: 92 statements (persistence: 0.615)
  Cluster 146: 92 statements (persistence: 0.680)
  Cluster 151: 90 statements (persistence: 0.659)
  Cluster 19: 89 statements (persistence: 0.473)
  Cluster 70: 87 statements (persistence: 0.635)
  Cluster 112: 87 statements (persistence: 0.529)
  Cluster 68: 86 statements (persistence: 0.568)
  Cluster 140: 86 statements (persistence: 0.360)
  Cluster 170: 83 statements (persistence: 0.792)
  Cluster 91: 80 statements (persistence: 0.534)
  Cluster 119: 80 statements (persistence: 0.591)
  Cluster 9: 79 statements (persistence: 0.810)
  Cluster 101: 79 statements (persistence: 0.652)
  Cluster 93: 77 statements (persistence: 0.618)
  Cluster 62: 76 statements (persistence: 0.601)
  Cluster 108: 75 statements (persistence: 0.644)
  Cluster 40: 74 statements (persistence: 0.637)
  Cluster 12: 73 statements (persistence: 0.578)
  Cluster 128: 72 statements (persistence: 0.708)
  Cluster 161: 71 statements (persistence: 0.608)
  Cluster 35: 70 statements (persistence: 1.000)
  Cluster 84: 70 statements (persistence: 0.608)
  Cluster 104: 68 statements (persistence: 0.754)
  Cluster 130: 68 statements (persistence: 0.510)
  Cluster 163: 68 statements (persistence: 0.985)
  Cluster 8: 67 statements (persistence: 0.454)
  Cluster 182: 65 statements (persistence: 0.883)
  Cluster 160: 62 statements (persistence: 1.000)
  Cluster 126: 61 statements (persistence: 0.742)
  Cluster 165: 61 statements (persistence: 0.740)
  Cluster 50: 60 statements (persistence: 0.811)
  Cluster 107: 60 statements (persistence: 0.806)
  Cluster 162: 60 statements (persistence: 0.821)
  Cluster 142: 58 statements (persistence: 1.000)
  Cluster 171: 58 statements (persistence: 0.986)
  Cluster 157: 57 statements (persistence: 0.710)
  Cluster 167: 57 statements (persistence: 0.744)
  Cluster 159: 55 statements (persistence: 0.729)
  Cluster 63: 53 statements (persistence: 0.762)
  Cluster 1: 52 statements (persistence: 0.636)
  Cluster 82: 52 statements (persistence: 0.829)
  Cluster 100: 52 statements (persistence: 0.629)
  Cluster 15: 51 statements (persistence: 0.802)
