HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 20479
Vectorization method: hybrid
Number of clusters: 416
Number of noise points: 8219 (40.1%)
Analysis type: clusters
Timestamp: 2025-05-27 16:39:08

Dataset Distribution:
  PEC: 20479 statements

============================================================

Cluster Information:
  Cluster 312: 702 statements (persistence: 0.170)
  Cluster 334: 498 statements (persistence: 0.098)
  Cluster 286: 405 statements (persistence: 0.479)
  Cluster 368: 372 statements (persistence: 0.433)
  Cluster 324: 340 statements (persistence: 0.159)
  Cluster 249: 302 statements (persistence: 0.504)
  Cluster 14: 294 statements (persistence: 0.205)
  Cluster 208: 282 statements (persistence: 0.526)
  Cluster 128: 265 statements (persistence: 0.189)
  Cluster 194: 224 statements (persistence: 0.155)
  Cluster 277: 216 statements (persistence: 0.664)
  Cluster 251: 197 statements (persistence: 0.200)
  Cluster 69: 171 statements (persistence: 0.203)
  Cluster 49: 164 statements (persistence: 0.222)
  Cluster 74: 158 statements (persistence: 0.184)
  Cluster 104: 148 statements (persistence: 0.186)
  Cluster 186: 147 statements (persistence: 0.164)
  Cluster 1: 141 statements (persistence: 0.289)
  Cluster 414: 141 statements (persistence: 0.991)
  Cluster 147: 135 statements (persistence: 0.251)
  Cluster 267: 134 statements (persistence: 0.968)
  Cluster 135: 132 statements (persistence: 0.653)
  Cluster 103: 131 statements (persistence: 0.240)
  Cluster 3: 124 statements (persistence: 0.198)
  Cluster 231: 120 statements (persistence: 0.269)
  Cluster 350: 115 statements (persistence: 0.292)
  Cluster 280: 113 statements (persistence: 0.187)
  Cluster 159: 110 statements (persistence: 0.202)
  Cluster 175: 109 statements (persistence: 0.207)
  Cluster 184: 109 statements (persistence: 0.445)
  Cluster 38: 103 statements (persistence: 0.237)
  Cluster 338: 95 statements (persistence: 0.536)
  Cluster 126: 92 statements (persistence: 0.370)
  Cluster 219: 91 statements (persistence: 0.247)
  Cluster 295: 91 statements (persistence: 0.330)
  Cluster 355: 90 statements (persistence: 0.295)
  Cluster 390: 89 statements (persistence: 0.423)
