HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 15536
Vectorization method: hybrid
Number of clusters: 339
Number of noise points: 8699 (56.0%)
Analysis type: clusters
Timestamp: 2025-05-27 16:39:39

Dataset Distribution:
  PER-CHAT: 15536 statements

============================================================

Cluster Information:
  Cluster 330: 1079 statements (persistence: 0.608)
  Cluster 136: 937 statements (persistence: 0.920)
  Cluster 135: 180 statements (persistence: 0.973)
  Cluster 246: 131 statements (persistence: 0.258)
  Cluster 289: 119 statements (persistence: 0.275)
  Cluster 108: 104 statements (persistence: 0.105)
  Cluster 296: 95 statements (persistence: 0.622)
  Cluster 251: 84 statements (persistence: 0.134)
  Cluster 56: 76 statements (persistence: 0.644)
  Cluster 312: 76 statements (persistence: 0.378)
  Cluster 126: 75 statements (persistence: 0.367)
  Cluster 195: 70 statements (persistence: 0.392)
  Cluster 181: 67 statements (persistence: 0.101)
  Cluster 269: 61 statements (persistence: 0.300)
  Cluster 320: 61 statements (persistence: 0.333)
  Cluster 168: 58 statements (persistence: 0.392)
  Cluster 55: 54 statements (persistence: 0.494)
  Cluster 192: 54 statements (persistence: 0.354)
  Cluster 101: 53 statements (persistence: 0.453)
  Cluster 261: 52 statements (persistence: 0.369)
  Cluster 259: 50 statements (persistence: 0.343)
  Cluster 317: 50 statements (persistence: 0.461)
  Cluster 79: 42 statements (persistence: 0.325)
  Cluster 232: 41 statements (persistence: 0.441)
  Cluster 229: 40 statements (persistence: 0.522)
  Cluster 249: 40 statements (persistence: 0.378)
  Cluster 322: 39 statements (persistence: 0.400)
  Cluster 99: 36 statements (persistence: 0.199)
  Cluster 68: 33 statements (persistence: 0.357)
  Cluster 153: 33 statements (persistence: 0.414)
  Cluster 287: 33 statements (persistence: 0.460)
  Cluster 274: 32 statements (persistence: 0.629)
  Cluster 243: 31 statements (persistence: 0.447)
  Cluster 28: 28 statements (persistence: 0.510)
  Cluster 170: 28 statements (persistence: 0.415)
  Cluster 225: 28 statements (persistence: 0.396)
  Cluster 172: 26 statements (persistence: 0.446)
  Cluster 216: 25 statements (persistence: 0.582)
  Cluster 336: 25 statements (persistence: 0.424)
  Cluster 227: 24 statements (persistence: 0.717)
  Cluster 310: 24 statements (persistence: 0.493)
  Cluster 185: 23 statements (persistence: 0.646)
  Cluster 226: 23 statements (persistence: 0.529)
  Cluster 110: 22 statements (persistence: 0.563)
  Cluster 139: 22 statements (persistence: 0.690)
  Cluster 276: 22 statements (persistence: 0.713)
  Cluster 290: 22 statements (persistence: 0.772)
  Cluster 299: 22 statements (persistence: 0.762)
  Cluster 298: 21 statements (persistence: 0.633)
  Cluster 329: 21 statements (persistence: 0.487)
  Cluster 62: 20 statements (persistence: 0.766)
  Cluster 218: 20 statements (persistence: 0.703)
  Cluster 228: 20 statements (persistence: 0.549)
  Cluster 295: 20 statements (persistence: 0.743)
  Cluster 128: 18 statements (persistence: 0.579)
  Cluster 140: 18 statements (persistence: 0.549)
  Cluster 281: 18 statements (persistence: 0.831)
