HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 8359
Vectorization method: dense
Number of clusters: 207
Number of noise points: 5700 (68.2%)
Analysis type: clusters
Timestamp: 2025-05-27 16:44:25

Dataset Distribution:
  PER-CHAT: 8359 statements

============================================================

Cluster Information:
  Cluster 206: 808 statements (persistence: 0.931)
  Cluster 199: 71 statements (persistence: 0.908)
  Cluster 181: 43 statements (persistence: 0.826)
  Cluster 202: 31 statements (persistence: 0.688)
  Cluster 67: 28 statements (persistence: 0.912)
  Cluster 141: 28 statements (persistence: 0.962)
  Cluster 157: 28 statements (persistence: 0.753)
  Cluster 118: 27 statements (persistence: 0.948)
  Cluster 132: 27 statements (persistence: 0.981)
  Cluster 51: 23 statements (persistence: 0.988)
  Cluster 85: 20 statements (persistence: 0.974)
  Cluster 103: 20 statements (persistence: 0.912)
  Cluster 147: 20 statements (persistence: 0.958)
  Cluster 115: 18 statements (persistence: 0.973)
  Cluster 162: 18 statements (persistence: 0.828)
  Cluster 151: 17 statements (persistence: 0.965)
  Cluster 189: 17 statements (persistence: 0.905)
  Cluster 73: 16 statements (persistence: 0.843)
  Cluster 121: 16 statements (persistence: 0.983)
  Cluster 42: 15 statements (persistence: 0.958)
  Cluster 66: 15 statements (persistence: 0.911)
  Cluster 106: 15 statements (persistence: 0.930)
  Cluster 196: 15 statements (persistence: 0.972)
  Cluster 177: 14 statements (persistence: 0.970)
  Cluster 188: 14 statements (persistence: 0.936)
  Cluster 192: 14 statements (persistence: 0.964)
  Cluster 200: 14 statements (persistence: 0.913)
  Cluster 98: 13 statements (persistence: 0.980)
  Cluster 108: 13 statements (persistence: 0.957)
  Cluster 109: 13 statements (persistence: 0.939)
  Cluster 166: 13 statements (persistence: 0.953)
  Cluster 136: 12 statements (persistence: 0.923)
  Cluster 168: 12 statements (persistence: 0.955)
  Cluster 172: 12 statements (persistence: 0.980)
  Cluster 176: 12 statements (persistence: 0.900)
  Cluster 178: 12 statements (persistence: 0.921)
  Cluster 180: 12 statements (persistence: 0.934)
  Cluster 197: 12 statements (persistence: 0.886)
  Cluster 34: 11 statements (persistence: 0.984)
