HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 12212
Vectorization method: tfidf
Number of clusters: 123
Number of noise points: 6229 (51.0%)
Analysis type: clusters
Timestamp: 2025-05-27 16:55:59

Dataset Distribution:
  PER-CHAT: 12212 statements

============================================================

Cluster Information:
  Cluster 121: 1223 statements (persistence: 0.207)
  Cluster 2: 772 statements (persistence: 1.000)
  Cluster 4: 277 statements (persistence: 0.321)
  Cluster 93: 216 statements (persistence: 0.298)
  Cluster 88: 162 statements (persistence: 0.283)
  Cluster 30: 130 statements (persistence: 0.249)
  Cluster 86: 125 statements (persistence: 0.343)
  Cluster 65: 111 statements (persistence: 0.287)
  Cluster 95: 111 statements (persistence: 0.669)
  Cluster 5: 101 statements (persistence: 0.261)
  Cluster 108: 101 statements (persistence: 0.296)
  Cluster 78: 94 statements (persistence: 0.361)
  Cluster 49: 78 statements (persistence: 0.327)
  Cluster 46: 75 statements (persistence: 0.389)
  Cluster 47: 75 statements (persistence: 0.295)
  Cluster 34: 73 statements (persistence: 0.299)
  Cluster 84: 73 statements (persistence: 0.464)
  Cluster 31: 71 statements (persistence: 0.302)
  Cluster 71: 70 statements (persistence: 0.375)
  Cluster 54: 65 statements (persistence: 0.302)
  Cluster 64: 65 statements (persistence: 0.439)
  Cluster 11: 59 statements (persistence: 0.517)
  Cluster 76: 53 statements (persistence: 0.400)
  Cluster 38: 50 statements (persistence: 0.325)
  Cluster 97: 50 statements (persistence: 0.404)
  Cluster 17: 49 statements (persistence: 0.542)
  Cluster 112: 49 statements (persistence: 0.516)
  Cluster 35: 48 statements (persistence: 0.460)
  Cluster 60: 48 statements (persistence: 0.424)
  Cluster 25: 47 statements (persistence: 0.467)
  Cluster 9: 44 statements (persistence: 0.977)
  Cluster 3: 37 statements (persistence: 0.823)
  Cluster 90: 37 statements (persistence: 0.474)
  Cluster 73: 36 statements (persistence: 0.396)
  Cluster 111: 34 statements (persistence: 0.592)
  Cluster 94: 33 statements (persistence: 0.540)
  Cluster 91: 30 statements (persistence: 0.789)
  Cluster 29: 29 statements (persistence: 0.653)
  Cluster 107: 29 statements (persistence: 0.739)
  Cluster 116: 29 statements (persistence: 0.723)
  Cluster 62: 28 statements (persistence: 0.645)
  Cluster 113: 25 statements (persistence: 0.607)
  Cluster 69: 24 statements (persistence: 0.805)
  Cluster 74: 24 statements (persistence: 0.624)
  Cluster 0: 23 statements (persistence: 0.623)
  Cluster 79: 23 statements (persistence: 0.766)
  Cluster 68: 22 statements (persistence: 0.621)
  Cluster 99: 22 statements (persistence: 0.716)
  Cluster 28: 21 statements (persistence: 0.690)
  Cluster 41: 20 statements (persistence: 0.844)
  Cluster 100: 20 statements (persistence: 0.910)
  Cluster 6: 19 statements (persistence: 0.832)
  Cluster 85: 19 statements (persistence: 0.799)
  Cluster 92: 19 statements (persistence: 0.799)
  Cluster 119: 19 statements (persistence: 0.901)
  Cluster 56: 18 statements (persistence: 0.791)
  Cluster 10: 17 statements (persistence: 0.938)
  Cluster 57: 17 statements (persistence: 0.832)
  Cluster 1: 16 statements (persistence: 1.000)
  Cluster 36: 16 statements (persistence: 0.803)
  Cluster 45: 16 statements (persistence: 0.911)
  Cluster 83: 16 statements (persistence: 0.864)
  Cluster 20: 15 statements (persistence: 0.749)
  Cluster 33: 15 statements (persistence: 0.864)
  Cluster 77: 15 statements (persistence: 0.890)
  Cluster 80: 15 statements (persistence: 0.772)
  Cluster 81: 15 statements (persistence: 0.838)
  Cluster 87: 15 statements (persistence: 0.903)
  Cluster 109: 15 statements (persistence: 0.907)
  Cluster 16: 14 statements (persistence: 0.863)
  Cluster 104: 14 statements (persistence: 0.805)
  Cluster 105: 14 statements (persistence: 0.916)
  Cluster 110: 14 statements (persistence: 0.939)
  Cluster 48: 13 statements (persistence: 0.912)
  Cluster 55: 13 statements (persistence: 0.990)
  Cluster 72: 13 statements (persistence: 0.943)
  Cluster 101: 13 statements (persistence: 0.981)
  Cluster 120: 13 statements (persistence: 0.982)
  Cluster 7: 12 statements (persistence: 0.986)
  Cluster 18: 12 statements (persistence: 0.976)
  Cluster 22: 12 statements (persistence: 0.967)
  Cluster 32: 12 statements (persistence: 0.924)
  Cluster 39: 12 statements (persistence: 0.881)
  Cluster 53: 12 statements (persistence: 0.931)
  Cluster 61: 12 statements (persistence: 0.984)
  Cluster 66: 12 statements (persistence: 0.979)
  Cluster 67: 12 statements (persistence: 0.986)
  Cluster 82: 12 statements (persistence: 0.983)
  Cluster 26: 11 statements (persistence: 0.979)
  Cluster 44: 11 statements (persistence: 0.986)
  Cluster 58: 11 statements (persistence: 0.981)
  Cluster 63: 11 statements (persistence: 0.986)
  Cluster 75: 11 statements (persistence: 0.955)
  Cluster 8: 10 statements (persistence: 0.998)
  Cluster 15: 10 statements (persistence: 0.996)
  Cluster 19: 10 statements (persistence: 0.999)
  Cluster 23: 10 statements (persistence: 1.000)
  Cluster 24: 10 statements (persistence: 0.993)
  Cluster 52: 10 statements (persistence: 0.972)
  Cluster 89: 10 statements (persistence: 0.987)
  Cluster 114: 10 statements (persistence: 0.999)
  Cluster 115: 10 statements (persistence: 0.990)
  Cluster 12: 9 statements (persistence: 1.000)
  Cluster 13: 9 statements (persistence: 1.000)
  Cluster 14: 9 statements (persistence: 1.000)
  Cluster 21: 9 statements (persistence: 1.000)
  Cluster 27: 9 statements (persistence: 1.000)
  Cluster 37: 9 statements (persistence: 1.000)
  Cluster 40: 9 statements (persistence: 1.000)
  Cluster 42: 9 statements (persistence: 1.000)
  Cluster 43: 9 statements (persistence: 1.000)
  Cluster 50: 9 statements (persistence: 1.000)
  Cluster 51: 9 statements (persistence: 1.000)
  Cluster 59: 9 statements (persistence: 1.000)
  Cluster 70: 9 statements (persistence: 1.000)
  Cluster 96: 9 statements (persistence: 1.000)
  Cluster 98: 9 statements (persistence: 1.000)
  Cluster 102: 9 statements (persistence: 1.000)
  Cluster 103: 9 statements (persistence: 1.000)
  Cluster 106: 9 statements (persistence: 1.000)
  Cluster 117: 9 statements (persistence: 1.000)
  Cluster 118: 9 statements (persistence: 1.000)
  Cluster 122: 9 statements (persistence: 1.000)
