dataset_id,persona_id,statement,categories
Z8RPC24EURS4_7,15f0f4fcba968710dab01d6471e6ea4eb905d6e8d9eb52a69667659ee2d6cc66,I like to go to Church.,Preferences_Interests
Z8RPC24EURS4_7,15f0f4fcba968710dab01d6471e6ea4eb905d6e8d9eb52a69667659ee2d6cc66,I am Roman Catholic.,Personality_Traits
Z8RPC24EURS4_7,15f0f4fcba968710dab01d6471e6ea4eb905d6e8d9eb52a69667659ee2d6cc66,I wish to go to El Paso.,Goals_Aspirations
Z8RPC24EURS4_7,15f0f4fcba968710dab01d6471e6ea4eb905d6e8d9eb52a69667659ee2d6cc66,I would like to go to Texas.,Preferences_Interests
Z8RPC24EURS4_7,15f0f4fcba968710dab01d6471e6ea4eb905d6e8d9eb52a69667659ee2d6cc66,I love the United States.,Personality_Traits
9KDV6LSLWNAX_11,a3aa607df8ffe2ec9c428670035c921f374f155ae6546f32113b10d6e977eea9,I like living in a city.,"Demographics, Preferences_Interests"
9KDV6LSLWNAX_11,a3aa607df8ffe2ec9c428670035c921f374f155ae6546f32113b10d6e977eea9,I don't hope to ever visit New Zealand.,"Preferences_Interests, Goals_Aspirations"
9KDV6LSLWNAX_11,a3aa607df8ffe2ec9c428670035c921f374f155ae6546f32113b10d6e977eea9,I have several family members who suffered an accident.,Personal_Background
9KDV6LSLWNAX_11,a3aa607df8ffe2ec9c428670035c921f374f155ae6546f32113b10d6e977eea9,I don't like casinos.,Preferences_Interests
9KDV6LSLWNAX_11,a3aa607df8ffe2ec9c428670035c921f374f155ae6546f32113b10d6e977eea9,I have a daughter attending secondary school.,Personal_Background
U2VHOEDA278F_11,0b41bf6fc76056578ce2dcb6b5dee663441c24c274d57ad1e924cd0651c05875,I want to visit Mexico.,Preferences_Interests
U2VHOEDA278F_11,0b41bf6fc76056578ce2dcb6b5dee663441c24c274d57ad1e924cd0651c05875,I am interested in the Mayan civilization.,Personality_Traits
U2VHOEDA278F_11,0b41bf6fc76056578ce2dcb6b5dee663441c24c274d57ad1e924cd0651c05875,I like jaguars.,Preferences_Interests
U2VHOEDA278F_11,0b41bf6fc76056578ce2dcb6b5dee663441c24c274d57ad1e924cd0651c05875,I am interested in rainforests.,Personality_Traits
U2VHOEDA278F_11,0b41bf6fc76056578ce2dcb6b5dee663441c24c274d57ad1e924cd0651c05875,I am interested in archaeology.,Personality_Traits
82ZP2M9AL6U0_11,ea1b6e823fbb2ca94295a589fdd4139c6f39f7d12a1f8e583bf34023b5ad8de2,I am afraid of bears.,Personality_Traits
82ZP2M9AL6U0_11,ea1b6e823fbb2ca94295a589fdd4139c6f39f7d12a1f8e583bf34023b5ad8de2,I like valleys.,Preferences_Interests
82ZP2M9AL6U0_11,ea1b6e823fbb2ca94295a589fdd4139c6f39f7d12a1f8e583bf34023b5ad8de2,I live in the United States.,Demographics
