dataset_id,persona_id,statement,categories
conversation_0,07558a11a1c396366b13d82cc4cfd481fd08e724761e819bf88255920d33be1b,i like to remodel homes .,Preferences_Interests
conversation_0,07558a11a1c396366b13d82cc4cfd481fd08e724761e819bf88255920d33be1b,i like to go hunting .,Preferences_Interests
conversation_0,07558a11a1c396366b13d82cc4cfd481fd08e724761e819bf88255920d33be1b,i like to shoot a bow .,Preferences_Interests
conversation_0,07558a11a1c396366b13d82cc4cfd481fd08e724761e819bf88255920d33be1b,my favorite holiday is halloween .,Preferences_Interests
conversation_1,369a07b77000719ce5fdc44da6d80ec1cfb8a55d7e13ac7ae0b7ca916cdefc6b,my mom is my best friend .,"Personal_Background, Social_Relationships"
conversation_1,369a07b77000719ce5fdc44da6d80ec1cfb8a55d7e13ac7ae0b7ca916cdefc6b,i have four sisters .,Personal_Background
conversation_1,369a07b77000719ce5fdc44da6d80ec1cfb8a55d7e13ac7ae0b7ca916cdefc6b,i believe that mermaids are real .,Personality_Traits
conversation_1,369a07b77000719ce5fdc44da6d80ec1cfb8a55d7e13ac7ae0b7ca916cdefc6b,i love iced tea .,Personality_Traits
conversation_2,cb81ffc060530b103b757dc29881bcebdeb383ee9d13c2e0595a4f9ffc6a8883,i had a gig at local theater last night .,Habits_Routines
conversation_2,cb81ffc060530b103b757dc29881bcebdeb383ee9d13c2e0595a4f9ffc6a8883,i work as a stand up comedian .,Personal_Background
conversation_2,cb81ffc060530b103b757dc29881bcebdeb383ee9d13c2e0595a4f9ffc6a8883,i come from a small town .,Demographics
conversation_2,cb81ffc060530b103b757dc29881bcebdeb383ee9d13c2e0595a4f9ffc6a8883,my favorite drink is cuba libre .,Preferences_Interests
conversation_2,cb81ffc060530b103b757dc29881bcebdeb383ee9d13c2e0595a4f9ffc6a8883,i did a few small roles in tv series .,Preferences_Interests
conversation_3,14a91ef24da7b466ba9b8bf80f6eeaa2dd875ef0ee6e742e081e244965af31e0,i'm very athletic .,Uncategorized
conversation_3,14a91ef24da7b466ba9b8bf80f6eeaa2dd875ef0ee6e742e081e244965af31e0,i wear contacts .,Uncategorized
conversation_3,14a91ef24da7b466ba9b8bf80f6eeaa2dd875ef0ee6e742e081e244965af31e0,i have brown hair .,Uncategorized
conversation_3,14a91ef24da7b466ba9b8bf80f6eeaa2dd875ef0ee6e742e081e244965af31e0,i love bicycling .,Personality_Traits
conversation_3,14a91ef24da7b466ba9b8bf80f6eeaa2dd875ef0ee6e742e081e244965af31e0,i hate carrots .,Personality_Traits
conversation_4,6a8e8a6cf2634e7e8effaf5b7ffae900ce9e4a411076768f2c35cd066efd77ab,i am primarily a meat eater .,Personality_Traits
conversation_4,6a8e8a6cf2634e7e8effaf5b7ffae900ce9e4a411076768f2c35cd066efd77ab,i am a guitar player .,Personality_Traits
conversation_4,6a8e8a6cf2634e7e8effaf5b7ffae900ce9e4a411076768f2c35cd066efd77ab,welding is my career field .,Personal_Background
conversation_4,6a8e8a6cf2634e7e8effaf5b7ffae900ce9e4a411076768f2c35cd066efd77ab,my parents don't know i am gay .,Personal_Background
conversation_5,8e0018facfaa5d991f97392e906c500df781ba3119c1985f4c79003b08a07acc,i own a hearse .,Uncategorized
conversation_5,8e0018facfaa5d991f97392e906c500df781ba3119c1985f4c79003b08a07acc,i love to crochet .,Personality_Traits
conversation_5,8e0018facfaa5d991f97392e906c500df781ba3119c1985f4c79003b08a07acc,i like alternative rock .,Preferences_Interests
conversation_5,8e0018facfaa5d991f97392e906c500df781ba3119c1985f4c79003b08a07acc,halloween is my favorite holiday .,Preferences_Interests
conversation_6,f895a95fdbe8024130123161a1fb17252959ef16720a6cdb27fef71644059eb2,i have a boxer dog .,Uncategorized
conversation_6,f895a95fdbe8024130123161a1fb17252959ef16720a6cdb27fef71644059eb2,i like baths .,Preferences_Interests
conversation_6,f895a95fdbe8024130123161a1fb17252959ef16720a6cdb27fef71644059eb2,i like to listen to music .,Preferences_Interests
conversation_6,f895a95fdbe8024130123161a1fb17252959ef16720a6cdb27fef71644059eb2,my father lives in china .,Personal_Background
conversation_7,cd78c7eeb7336d5aee9c2aa0efb8d81fd4dfebfa017b5d31b2a5afe10996d76b,i like to party .,Social_Relationships
conversation_7,cd78c7eeb7336d5aee9c2aa0efb8d81fd4dfebfa017b5d31b2a5afe10996d76b,my major is business .,Personal_Background
conversation_7,cd78c7eeb7336d5aee9c2aa0efb8d81fd4dfebfa017b5d31b2a5afe10996d76b,i'm in college .,Personal_Background
conversation_7,cd78c7eeb7336d5aee9c2aa0efb8d81fd4dfebfa017b5d31b2a5afe10996d76b,i love the beach .,Personality_Traits
conversation_7,cd78c7eeb7336d5aee9c2aa0efb8d81fd4dfebfa017b5d31b2a5afe10996d76b,i work part time at a pizza restaurant .,"Personal_Background, Preferences_Interests"
conversation_8,f3ede9c1a5f1b293b3ae03e4a0527ba0b9f64535b4f89833419359e94434b935,i m from texas .,Demographics
conversation_8,f3ede9c1a5f1b293b3ae03e4a0527ba0b9f64535b4f89833419359e94434b935,i like basketball .,Preferences_Interests
conversation_8,f3ede9c1a5f1b293b3ae03e4a0527ba0b9f64535b4f89833419359e94434b935,i work many hours .,Personal_Background
conversation_8,f3ede9c1a5f1b293b3ae03e4a0527ba0b9f64535b4f89833419359e94434b935,my favorite band is imagine dragons .,Preferences_Interests
conversation_9,e5dd6734c6a858d4b623608337499f4bc6c324f878e9941c2c8e60a1095687f7,i like to travel .,Preferences_Interests
conversation_9,e5dd6734c6a858d4b623608337499f4bc6c324f878e9941c2c8e60a1095687f7,i've traveled to both ireland and australia .,Uncategorized
conversation_9,e5dd6734c6a858d4b623608337499f4bc6c324f878e9941c2c8e60a1095687f7,my father was born in australia .,"Demographics, Personal_Background"
conversation_9,e5dd6734c6a858d4b623608337499f4bc6c324f878e9941c2c8e60a1095687f7,my father was an author .,"Personal_Background, Preferences_Interests"
conversation_10,74b7f1af51a85cf9e1d44ea7f4ceefbf0286c4b156d8e6f458605b683d56e8ec,i love to sing .,Personality_Traits
conversation_10,74b7f1af51a85cf9e1d44ea7f4ceefbf0286c4b156d8e6f458605b683d56e8ec,i am a night owl .,Habits_Routines
conversation_10,74b7f1af51a85cf9e1d44ea7f4ceefbf0286c4b156d8e6f458605b683d56e8ec,i'm a dancer .,Uncategorized
conversation_10,74b7f1af51a85cf9e1d44ea7f4ceefbf0286c4b156d8e6f458605b683d56e8ec,i can play the piano .,Preferences_Interests
conversation_10,74b7f1af51a85cf9e1d44ea7f4ceefbf0286c4b156d8e6f458605b683d56e8ec,i'm a vegetarian .,Uncategorized
conversation_11,90e4531151a8dccb95b8a6695e05fe008f75680e29a3125550f1904ed89151d7,i love animals .,Personality_Traits
conversation_11,90e4531151a8dccb95b8a6695e05fe008f75680e29a3125550f1904ed89151d7,my father worked for ge .,Personal_Background
conversation_11,90e4531151a8dccb95b8a6695e05fe008f75680e29a3125550f1904ed89151d7,i enjoy playing tennis .,Preferences_Interests
conversation_11,90e4531151a8dccb95b8a6695e05fe008f75680e29a3125550f1904ed89151d7,i'm an aspiring singer .,Uncategorized
conversation_12,7f3eef32ecee16b09ef1982ddab1204475881d7899355ee21eee8fba7fb22774,i watch basketball .,Preferences_Interests
conversation_12,7f3eef32ecee16b09ef1982ddab1204475881d7899355ee21eee8fba7fb22774,i go to a local college .,Personal_Background
conversation_12,7f3eef32ecee16b09ef1982ddab1204475881d7899355ee21eee8fba7fb22774,i work at a smoothie shop .,Personal_Background
conversation_12,7f3eef32ecee16b09ef1982ddab1204475881d7899355ee21eee8fba7fb22774,i listen to classic rock .,Preferences_Interests
conversation_13,8c5429917411163f7a4095f5a6823e5101bb3c5e21a7c96594d02d7e87f0d203,i go to at least 10 concerts a year .,Preferences_Interests
conversation_13,8c5429917411163f7a4095f5a6823e5101bb3c5e21a7c96594d02d7e87f0d203,i work in retail .,Personal_Background
conversation_13,8c5429917411163f7a4095f5a6823e5101bb3c5e21a7c96594d02d7e87f0d203,madonna is my all time favorite .,Preferences_Interests
conversation_13,8c5429917411163f7a4095f5a6823e5101bb3c5e21a7c96594d02d7e87f0d203,lady gaga is my current favorite singer .,Preferences_Interests
conversation_14,c64a4e89833fff5962d619bec508501521b1908be7907d654d374aae4a0ecb41,i got married last year .,Demographics
conversation_14,c64a4e89833fff5962d619bec508501521b1908be7907d654d374aae4a0ecb41,i live on a boat .,Demographics
conversation_14,c64a4e89833fff5962d619bec508501521b1908be7907d654d374aae4a0ecb41,my hair is colored purple .,Uncategorized
conversation_14,c64a4e89833fff5962d619bec508501521b1908be7907d654d374aae4a0ecb41,i have my own salon .,Uncategorized
conversation_14,c64a4e89833fff5962d619bec508501521b1908be7907d654d374aae4a0ecb41,i'm a hair stylist .,Uncategorized
conversation_15,1babec4c8fe097f1de7f761d7e47ab17bb1f0249f9323f8785cd58d675d4bef0,i like to snowboard .,Preferences_Interests
conversation_15,1babec4c8fe097f1de7f761d7e47ab17bb1f0249f9323f8785cd58d675d4bef0,my favorite food is popcorn .,Preferences_Interests
conversation_15,1babec4c8fe097f1de7f761d7e47ab17bb1f0249f9323f8785cd58d675d4bef0,i like to ride horses .,Preferences_Interests
conversation_15,1babec4c8fe097f1de7f761d7e47ab17bb1f0249f9323f8785cd58d675d4bef0,i live in rural wisconsin .,Demographics
conversation_16,db069fd007f6a809ece360e132299c3cd6d97d17bb7ea479c985fe6ed44cadd9,i am a social butterfly .,Social_Relationships
conversation_16,db069fd007f6a809ece360e132299c3cd6d97d17bb7ea479c985fe6ed44cadd9,i like to swim .,Preferences_Interests
conversation_16,db069fd007f6a809ece360e132299c3cd6d97d17bb7ea479c985fe6ed44cadd9,i am in college .,Personal_Background
conversation_16,db069fd007f6a809ece360e132299c3cd6d97d17bb7ea479c985fe6ed44cadd9,i exercise everyday .,"Preferences_Interests, Habits_Routines"
conversation_16,db069fd007f6a809ece360e132299c3cd6d97d17bb7ea479c985fe6ed44cadd9,i eat large meals .,Preferences_Interests
conversation_17,f3298f2a691caf865d2438ec1b54bc0a50baf98e6f7b7eb0fcd5f06670eba5ce,i m scared of clowns .,Uncategorized
conversation_17,f3298f2a691caf865d2438ec1b54bc0a50baf98e6f7b7eb0fcd5f06670eba5ce,i've two dogs .,Uncategorized
conversation_17,f3298f2a691caf865d2438ec1b54bc0a50baf98e6f7b7eb0fcd5f06670eba5ce,i like to cook .,Preferences_Interests
conversation_17,f3298f2a691caf865d2438ec1b54bc0a50baf98e6f7b7eb0fcd5f06670eba5ce,i have two roomates .,Uncategorized
conversation_17,f3298f2a691caf865d2438ec1b54bc0a50baf98e6f7b7eb0fcd5f06670eba5ce,i live on the third floor in an apartment .,Demographics
conversation_18,9950623751b15619c999178c1ccadabefddb54f10347dba14df67f07d055a8e0,i watch a lot of tv .,Preferences_Interests
conversation_18,9950623751b15619c999178c1ccadabefddb54f10347dba14df67f07d055a8e0,i live alone .,Demographics
conversation_18,9950623751b15619c999178c1ccadabefddb54f10347dba14df67f07d055a8e0,i enjoy fishing .,Preferences_Interests
conversation_18,9950623751b15619c999178c1ccadabefddb54f10347dba14df67f07d055a8e0,i work on cars for a living .,Personal_Background
conversation_19,e2a0619882da4a10302f36c60cf26a4085c8f4125d950ce41fe150d56c7c3751,i like to hunt .,Preferences_Interests
conversation_19,e2a0619882da4a10302f36c60cf26a4085c8f4125d950ce41fe150d56c7c3751,both my parents were teachers .,Personal_Background
conversation_19,e2a0619882da4a10302f36c60cf26a4085c8f4125d950ce41fe150d56c7c3751,i had two cats growing up .,Uncategorized
conversation_19,e2a0619882da4a10302f36c60cf26a4085c8f4125d950ce41fe150d56c7c3751,i have two children .,Personal_Background
conversation_19,e2a0619882da4a10302f36c60cf26a4085c8f4125d950ce41fe150d56c7c3751,i like to donate time at the local animal shelter .,Preferences_Interests
conversation_20,d07a463cafbf708b00a998f011357315aef256ddee302701b38eba59d47fc469,i help around with bookkeeping and tours .,Preferences_Interests
conversation_20,d07a463cafbf708b00a998f011357315aef256ddee302701b38eba59d47fc469,sometimes i volunteer at an urban farm .,Habits_Routines
conversation_20,d07a463cafbf708b00a998f011357315aef256ddee302701b38eba59d47fc469,i'm vegan .,Uncategorized
conversation_20,d07a463cafbf708b00a998f011357315aef256ddee302701b38eba59d47fc469,i work at the grocery store .,Personal_Background
conversation_21,d31a0d8a13969f61d171def5a3ed3883e0271630cad6cb1d5496a577d1d2076a,until then i'll make 215 an hour .,Preferences_Interests
conversation_21,d31a0d8a13969f61d171def5a3ed3883e0271630cad6cb1d5496a577d1d2076a,i make and me by waiting tables .,Preferences_Interests
conversation_21,d31a0d8a13969f61d171def5a3ed3883e0271630cad6cb1d5496a577d1d2076a,i cannot wait to start my new life .,Uncategorized
conversation_21,d31a0d8a13969f61d171def5a3ed3883e0271630cad6cb1d5496a577d1d2076a,i hope it to become a doctor one day .,Goals_Aspirations
conversation_21,d31a0d8a13969f61d171def5a3ed3883e0271630cad6cb1d5496a577d1d2076a,i am a college student who is a full time working mom .,Personal_Background
conversation_22,65eeffd4b4854795830ccccadd78ba1fe0c83f11bd28af8d677561054e51ffdc,i will be graduating in september and hope to get a teaching job soon .,"Personal_Background, Goals_Aspirations"
conversation_22,65eeffd4b4854795830ccccadd78ba1fe0c83f11bd28af8d677561054e51ffdc,my brother is in a metal band and travels the world .,"Personal_Background, Preferences_Interests"
conversation_22,65eeffd4b4854795830ccccadd78ba1fe0c83f11bd28af8d677561054e51ffdc,my family migrated to america when i was five .,Personal_Background
conversation_22,65eeffd4b4854795830ccccadd78ba1fe0c83f11bd28af8d677561054e51ffdc,i am in college now and want to be a teacher .,Personal_Background
conversation_23,80ada112b06d4f1e4ea08751d43399f7649b5d37a788b3b4004e518d6a37a3b0,i was born 20 years ago .,"Demographics, Personal_Background"
conversation_23,80ada112b06d4f1e4ea08751d43399f7649b5d37a788b3b4004e518d6a37a3b0,i live in the usa .,Demographics
conversation_23,80ada112b06d4f1e4ea08751d43399f7649b5d37a788b3b4004e518d6a37a3b0,my favorite color is blue .,Preferences_Interests
conversation_23,80ada112b06d4f1e4ea08751d43399f7649b5d37a788b3b4004e518d6a37a3b0,i was born male and transitioned to female when i was 17 .,Demographics
conversation_24,8647f65e15c944f199a101b7031c0f115d72a4440e173b5da05d1801d19458e5,summer is my favorite season .,Preferences_Interests
