category,num_personas_sharing,num_attributes
additionalAttributes,1,13
additionalAttributes,2,1
behavioralPatterns,1,5
behavioralPatterns,2,1
beliefsAndValues,1,2
beliefsAndValues,3,1
demographics,1,24
demographics,2,5
demographics,3,2
demographics,6,1
goalsAndAspirations,1,1
goalsAndAspirations,2,1
interestsAndHobbies,1,16
interestsAndHobbies,2,1
interestsAndHobbies,3,1
personalityTraits,1,6
preferencesAndFavorites,1,7
skillsAndAbilities,1,7
socialConnections,1,11
socialConnections,3,1
