HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 24614
Vectorization method: tfidf
Number of clusters: 76
Number of noise points: 9896 (40.2%)
Analysis type: clusters
Timestamp: 2025-05-26 16:37:47

Dataset Distribution:
  MPChat: 24614 statements

============================================================

Cluster Information:
  Cluster 74: 5111 statements (persistence: 0.051)
  Cluster 16: 504 statements (persistence: 0.803)
  Cluster 22: 463 statements (persistence: 0.555)
  Cluster 25: 429 statements (persistence: 0.599)
  Cluster 33: 410 statements (persistence: 0.607)
  Cluster 9: 348 statements (persistence: 0.719)
  Cluster 36: 347 statements (persistence: 0.640)
  Cluster 41: 328 statements (persistence: 0.666)
  Cluster 13: 323 statements (persistence: 0.567)
  Cluster 5: 321 statements (persistence: 0.834)
  Cluster 12: 299 statements (persistence: 0.604)
  Cluster 42: 275 statements (persistence: 0.652)
  Cluster 45: 260 statements (persistence: 0.697)
  Cluster 14: 234 statements (persistence: 0.659)
  Cluster 31: 206 statements (persistence: 0.716)
  Cluster 30: 201 statements (persistence: 0.691)
  Cluster 3: 198 statements (persistence: 0.629)
  Cluster 26: 197 statements (persistence: 0.696)
  Cluster 29: 192 statements (persistence: 0.718)
  Cluster 46: 188 statements (persistence: 0.762)
  Cluster 35: 181 statements (persistence: 0.696)
  Cluster 6: 176 statements (persistence: 0.633)
  Cluster 27: 168 statements (persistence: 0.735)
  Cluster 21: 166 statements (persistence: 0.682)
  Cluster 15: 154 statements (persistence: 0.701)
  Cluster 39: 142 statements (persistence: 0.741)
  Cluster 18: 137 statements (persistence: 0.742)
  Cluster 20: 121 statements (persistence: 0.760)
  Cluster 43: 114 statements (persistence: 0.812)
  Cluster 52: 110 statements (persistence: 0.766)
  Cluster 40: 103 statements (persistence: 0.801)
  Cluster 23: 101 statements (persistence: 0.788)
  Cluster 28: 91 statements (persistence: 0.827)
  Cluster 57: 90 statements (persistence: 0.864)
  Cluster 63: 84 statements (persistence: 0.898)
  Cluster 2: 82 statements (persistence: 0.827)
  Cluster 49: 81 statements (persistence: 0.911)
  Cluster 19: 77 statements (persistence: 0.823)
  Cluster 56: 76 statements (persistence: 0.883)
  Cluster 53: 74 statements (persistence: 0.910)
  Cluster 32: 71 statements (persistence: 0.866)
  Cluster 62: 65 statements (persistence: 0.917)
  Cluster 24: 63 statements (persistence: 0.889)
  Cluster 34: 61 statements (persistence: 0.865)
  Cluster 11: 60 statements (persistence: 0.772)
  Cluster 51: 59 statements (persistence: 0.919)
  Cluster 37: 58 statements (persistence: 0.911)
  Cluster 71: 51 statements (persistence: 0.978)
  Cluster 73: 51 statements (persistence: 0.932)
  Cluster 47: 50 statements (persistence: 0.937)
  Cluster 54: 50 statements (persistence: 0.953)
  Cluster 0: 49 statements (persistence: 1.000)
  Cluster 61: 49 statements (persistence: 0.940)
  Cluster 7: 47 statements (persistence: 0.902)
  Cluster 48: 46 statements (persistence: 0.922)
  Cluster 58: 46 statements (persistence: 0.969)
  Cluster 59: 45 statements (persistence: 0.938)
  Cluster 17: 43 statements (persistence: 0.895)
  Cluster 8: 42 statements (persistence: 0.938)
  Cluster 64: 39 statements (persistence: 0.978)
  Cluster 44: 38 statements (persistence: 0.988)
  Cluster 66: 38 statements (persistence: 0.975)
  Cluster 50: 37 statements (persistence: 0.965)
  Cluster 72: 36 statements (persistence: 0.985)
  Cluster 10: 35 statements (persistence: 0.959)
  Cluster 65: 34 statements (persistence: 0.992)
  Cluster 75: 34 statements (persistence: 0.983)
  Cluster 60: 33 statements (persistence: 0.989)
  Cluster 38: 31 statements (persistence: 0.989)
  Cluster 55: 30 statements (persistence: 0.998)
  Cluster 69: 30 statements (persistence: 0.999)
  Cluster 4: 28 statements (persistence: 0.997)
  Cluster 68: 28 statements (persistence: 0.997)
  Cluster 70: 28 statements (persistence: 0.999)
  Cluster 1: 26 statements (persistence: 0.998)
  Cluster 67: 25 statements (persistence: 1.000)
