HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 19803
Vectorization method: tfidf
Number of clusters: 65
Number of noise points: 11098 (56.0%)
Analysis type: clusters
Timestamp: 2025-05-26 16:30:34

Dataset Distribution:
  MSC: 19803 statements

============================================================

Cluster Information:
  Cluster 49: 1627 statements (persistence: 0.841)
  Cluster 34: 788 statements (persistence: 0.792)
  Cluster 28: 607 statements (persistence: 0.798)
  Cluster 32: 462 statements (persistence: 0.846)
  Cluster 64: 387 statements (persistence: 0.992)
  Cluster 22: 386 statements (persistence: 0.858)
  Cluster 33: 369 statements (persistence: 0.663)
  Cluster 42: 309 statements (persistence: 0.623)
  Cluster 25: 234 statements (persistence: 0.795)
  Cluster 37: 155 statements (persistence: 0.746)
  Cluster 41: 148 statements (persistence: 0.818)
  Cluster 20: 141 statements (persistence: 0.752)
  Cluster 63: 134 statements (persistence: 0.474)
  Cluster 31: 128 statements (persistence: 0.778)
  Cluster 0: 123 statements (persistence: 1.000)
  Cluster 14: 114 statements (persistence: 0.742)
  Cluster 29: 113 statements (persistence: 0.765)
  Cluster 45: 108 statements (persistence: 0.833)
  Cluster 11: 107 statements (persistence: 0.764)
  Cluster 21: 100 statements (persistence: 0.770)
  Cluster 27: 97 statements (persistence: 0.755)
  Cluster 12: 90 statements (persistence: 0.785)
  Cluster 8: 87 statements (persistence: 0.829)
  Cluster 38: 84 statements (persistence: 0.885)
  Cluster 18: 83 statements (persistence: 0.861)
  Cluster 36: 82 statements (persistence: 0.880)
  Cluster 43: 73 statements (persistence: 0.852)
  Cluster 44: 71 statements (persistence: 0.918)
  Cluster 7: 69 statements (persistence: 0.883)
  Cluster 40: 67 statements (persistence: 0.898)
  Cluster 15: 65 statements (persistence: 0.896)
  Cluster 48: 63 statements (persistence: 0.874)
  Cluster 50: 63 statements (persistence: 0.914)
  Cluster 23: 60 statements (persistence: 0.852)
  Cluster 39: 59 statements (persistence: 0.940)
  Cluster 9: 53 statements (persistence: 0.898)
  Cluster 2: 52 statements (persistence: 1.000)
  Cluster 53: 46 statements (persistence: 0.946)
  Cluster 52: 45 statements (persistence: 0.885)
  Cluster 10: 44 statements (persistence: 0.919)
  Cluster 24: 44 statements (persistence: 0.957)
  Cluster 1: 43 statements (persistence: 1.000)
  Cluster 55: 41 statements (persistence: 0.961)
  Cluster 47: 40 statements (persistence: 0.978)
  Cluster 17: 38 statements (persistence: 0.966)
  Cluster 5: 37 statements (persistence: 1.000)
  Cluster 3: 36 statements (persistence: 1.000)
  Cluster 19: 36 statements (persistence: 0.973)
  Cluster 57: 34 statements (persistence: 0.974)
  Cluster 26: 33 statements (persistence: 0.971)
  Cluster 62: 33 statements (persistence: 0.969)
  Cluster 61: 32 statements (persistence: 0.993)
  Cluster 30: 31 statements (persistence: 0.991)
  Cluster 46: 31 statements (persistence: 0.986)
  Cluster 13: 30 statements (persistence: 0.983)
  Cluster 16: 29 statements (persistence: 1.000)
  Cluster 51: 29 statements (persistence: 0.986)
  Cluster 58: 29 statements (persistence: 0.994)
  Cluster 60: 29 statements (persistence: 0.996)
  Cluster 6: 27 statements (persistence: 1.000)
  Cluster 56: 27 statements (persistence: 0.995)
  Cluster 4: 26 statements (persistence: 1.000)
  Cluster 35: 26 statements (persistence: 0.999)
  Cluster 59: 26 statements (persistence: 1.000)
  Cluster 54: 25 statements (persistence: 1.000)
