HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 154594
Vectorization method: tfidf
Number of clusters: 535
Number of noise points: 60427 (39.1%)
Analysis type: clusters
Timestamp: 2025-05-26 16:36:24

Dataset Distribution:
  PEC: 154594 statements

============================================================

Cluster Information:
  Cluster 534: 4859 statements (persistence: 0.838)
  Cluster 273: 4637 statements (persistence: 0.857)
  Cluster 244: 3453 statements (persistence: 0.730)
  Cluster 255: 3389 statements (persistence: 0.821)
  Cluster 281: 2794 statements (persistence: 0.802)
  Cluster 228: 1945 statements (persistence: 0.869)
  Cluster 187: 1909 statements (persistence: 0.862)
  Cluster 12: 1858 statements (persistence: 1.000)
  Cluster 211: 1793 statements (persistence: 0.735)
  Cluster 213: 1771 statements (persistence: 0.867)
  Cluster 169: 1652 statements (persistence: 0.787)
  Cluster 252: 1315 statements (persistence: 0.913)
  Cluster 306: 1220 statements (persistence: 0.939)
  Cluster 222: 1151 statements (persistence: 0.730)
  Cluster 99: 1069 statements (persistence: 0.780)
  Cluster 292: 1039 statements (persistence: 0.872)
  Cluster 176: 941 statements (persistence: 0.771)
  Cluster 241: 939 statements (persistence: 0.895)
  Cluster 155: 857 statements (persistence: 0.740)
  Cluster 236: 745 statements (persistence: 0.806)
  Cluster 46: 730 statements (persistence: 0.806)
  Cluster 7: 704 statements (persistence: 1.000)
  Cluster 35: 690 statements (persistence: 0.723)
  Cluster 84: 679 statements (persistence: 0.776)
  Cluster 318: 615 statements (persistence: 0.783)
  Cluster 219: 593 statements (persistence: 0.763)
  Cluster 319: 546 statements (persistence: 0.738)
  Cluster 18: 545 statements (persistence: 1.000)
  Cluster 300: 532 statements (persistence: 0.884)
  Cluster 314: 532 statements (persistence: 0.782)
  Cluster 344: 529 statements (persistence: 0.814)
  Cluster 239: 478 statements (persistence: 0.728)
  Cluster 14: 477 statements (persistence: 1.000)
  Cluster 51: 461 statements (persistence: 1.000)
  Cluster 103: 461 statements (persistence: 0.755)
  Cluster 31: 459 statements (persistence: 0.814)
  Cluster 315: 434 statements (persistence: 0.604)
  Cluster 290: 430 statements (persistence: 0.843)
  Cluster 258: 425 statements (persistence: 0.933)
  Cluster 328: 422 statements (persistence: 0.538)
  Cluster 359: 420 statements (persistence: 0.770)
  Cluster 293: 415 statements (persistence: 0.900)
  Cluster 4: 411 statements (persistence: 1.000)
  Cluster 296: 411 statements (persistence: 0.868)
  Cluster 326: 400 statements (persistence: 0.989)
  Cluster 271: 399 statements (persistence: 0.751)
  Cluster 217: 395 statements (persistence: 0.910)
  Cluster 347: 392 statements (persistence: 0.777)
  Cluster 16: 380 statements (persistence: 1.000)
  Cluster 362: 361 statements (persistence: 0.760)
  Cluster 167: 353 statements (persistence: 0.820)
  Cluster 199: 348 statements (persistence: 0.653)
  Cluster 339: 337 statements (persistence: 0.720)
  Cluster 308: 334 statements (persistence: 0.554)
  Cluster 231: 332 statements (persistence: 0.780)
  Cluster 285: 328 statements (persistence: 0.743)
  Cluster 218: 324 statements (persistence: 0.896)
  Cluster 141: 321 statements (persistence: 0.751)
  Cluster 357: 316 statements (persistence: 0.642)
  Cluster 3: 306 statements (persistence: 1.000)
  Cluster 27: 306 statements (persistence: 0.997)
  Cluster 22: 300 statements (persistence: 1.000)
  Cluster 245: 300 statements (persistence: 0.805)
  Cluster 338: 299 statements (persistence: 0.785)
  Cluster 220: 297 statements (persistence: 0.811)
  Cluster 390: 295 statements (persistence: 0.841)
  Cluster 368: 294 statements (persistence: 0.643)
  Cluster 197: 291 statements (persistence: 0.874)
  Cluster 32: 278 statements (persistence: 0.996)
  Cluster 317: 277 statements (persistence: 0.651)
  Cluster 332: 270 statements (persistence: 0.703)
  Cluster 45: 263 statements (persistence: 1.000)
  Cluster 333: 263 statements (persistence: 0.820)
  Cluster 366: 263 statements (persistence: 0.668)
  Cluster 196: 254 statements (persistence: 0.605)
  Cluster 373: 253 statements (persistence: 0.770)
  Cluster 384: 245 statements (persistence: 0.835)
  Cluster 257: 236 statements (persistence: 0.962)
  Cluster 56: 233 statements (persistence: 1.000)
  Cluster 8: 225 statements (persistence: 1.000)
  Cluster 195: 224 statements (persistence: 0.776)
  Cluster 356: 221 statements (persistence: 0.702)
  Cluster 355: 217 statements (persistence: 0.799)
  Cluster 278: 211 statements (persistence: 0.128)
  Cluster 182: 210 statements (persistence: 0.659)
  Cluster 158: 207 statements (persistence: 0.942)
  Cluster 170: 206 statements (persistence: 0.669)
  Cluster 159: 205 statements (persistence: 0.726)
  Cluster 348: 199 statements (persistence: 0.736)
  Cluster 365: 199 statements (persistence: 0.743)
  Cluster 47: 198 statements (persistence: 0.666)
  Cluster 354: 197 statements (persistence: 0.835)
  Cluster 11: 192 statements (persistence: 1.000)
  Cluster 415: 188 statements (persistence: 0.758)
  Cluster 120: 185 statements (persistence: 0.950)
  Cluster 369: 185 statements (persistence: 0.678)
  Cluster 302: 184 statements (persistence: 0.819)
  Cluster 10: 183 statements (persistence: 1.000)
  Cluster 6: 179 statements (persistence: 1.000)
  Cluster 142: 179 statements (persistence: 0.994)
  Cluster 264: 179 statements (persistence: 0.787)
  Cluster 349: 176 statements (persistence: 0.759)
  Cluster 190: 175 statements (persistence: 0.684)
  Cluster 321: 173 statements (persistence: 0.843)
  Cluster 0: 172 statements (persistence: 1.000)
  Cluster 311: 172 statements (persistence: 0.983)
  Cluster 54: 171 statements (persistence: 0.696)
  Cluster 382: 171 statements (persistence: 0.810)
  Cluster 205: 168 statements (persistence: 0.704)
  Cluster 152: 167 statements (persistence: 0.702)
  Cluster 387: 165 statements (persistence: 0.575)
  Cluster 419: 165 statements (persistence: 0.891)
  Cluster 189: 163 statements (persistence: 0.656)
  Cluster 81: 162 statements (persistence: 0.994)
  Cluster 388: 162 statements (persistence: 0.746)
  Cluster 140: 161 statements (persistence: 0.803)
  Cluster 392: 161 statements (persistence: 0.800)
  Cluster 2: 157 statements (persistence: 1.000)
  Cluster 60: 157 statements (persistence: 0.900)
  Cluster 179: 155 statements (persistence: 0.655)
  Cluster 403: 154 statements (persistence: 0.741)
  Cluster 225: 151 statements (persistence: 0.987)
  Cluster 201: 148 statements (persistence: 0.745)
  Cluster 215: 148 statements (persistence: 0.842)
