HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 22380
Vectorization method: tfidf
Number of clusters: 193
Number of noise points: 10381 (46.4%)
Analysis type: clusters
Timestamp: 2025-05-26 16:30:26

Dataset Distribution:
  SyntheticPersonaChat: 22380 statements

============================================================

Cluster Information:
  Cluster 77: 793 statements (persistence: 0.845)
  Cluster 84: 426 statements (persistence: 0.945)
  Cluster 181: 252 statements (persistence: 1.000)
  Cluster 133: 208 statements (persistence: 0.870)
  Cluster 117: 189 statements (persistence: 0.726)
  Cluster 5: 155 statements (persistence: 0.961)
  Cluster 76: 148 statements (persistence: 0.983)
  Cluster 116: 148 statements (persistence: 0.982)
  Cluster 66: 144 statements (persistence: 0.810)
  Cluster 87: 142 statements (persistence: 0.944)
  Cluster 99: 138 statements (persistence: 0.929)
  Cluster 108: 135 statements (persistence: 0.586)
  Cluster 191: 130 statements (persistence: 0.807)
  Cluster 192: 124 statements (persistence: 0.733)
  Cluster 11: 121 statements (persistence: 1.000)
  Cluster 51: 119 statements (persistence: 0.431)
  Cluster 72: 117 statements (persistence: 0.670)
  Cluster 41: 115 statements (persistence: 0.870)
  Cluster 26: 114 statements (persistence: 0.631)
  Cluster 93: 114 statements (persistence: 0.625)
  Cluster 151: 114 statements (persistence: 0.657)
  Cluster 120: 112 statements (persistence: 0.980)
  Cluster 100: 108 statements (persistence: 0.743)
  Cluster 69: 105 statements (persistence: 0.796)
  Cluster 143: 102 statements (persistence: 0.582)
  Cluster 90: 101 statements (persistence: 0.457)
  Cluster 25: 100 statements (persistence: 1.000)
  Cluster 105: 96 statements (persistence: 0.708)
  Cluster 36: 93 statements (persistence: 0.686)
  Cluster 49: 93 statements (persistence: 0.713)
  Cluster 185: 92 statements (persistence: 0.772)
  Cluster 63: 91 statements (persistence: 0.605)
  Cluster 65: 91 statements (persistence: 0.561)
  Cluster 150: 91 statements (persistence: 0.881)
  Cluster 186: 90 statements (persistence: 0.715)
  Cluster 40: 89 statements (persistence: 0.787)
