HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 22511
Vectorization method: hybrid
Number of clusters: 190
Number of noise points: 11754 (52.2%)
Analysis type: clusters
Timestamp: 2025-05-26 16:46:55

Dataset Distribution:
  PersonaChat: 22511 statements

============================================================

Cluster Information:
  Cluster 188: 2787 statements (persistence: 0.975)
  Cluster 178: 134 statements (persistence: 0.776)
  Cluster 183: 115 statements (persistence: 0.904)
  Cluster 98: 103 statements (persistence: 0.886)
  Cluster 145: 86 statements (persistence: 0.314)
  Cluster 164: 82 statements (persistence: 0.965)
  Cluster 171: 71 statements (persistence: 0.899)
  Cluster 96: 70 statements (persistence: 0.721)
  Cluster 107: 66 statements (persistence: 0.834)
  Cluster 179: 66 statements (persistence: 0.797)
  Cluster 99: 65 statements (persistence: 0.856)
  Cluster 154: 65 statements (persistence: 0.631)
  Cluster 189: 64 statements (persistence: 0.901)
  Cluster 142: 62 statements (persistence: 0.848)
  Cluster 159: 62 statements (persistence: 0.898)
  Cluster 165: 62 statements (persistence: 0.451)
  Cluster 166: 62 statements (persistence: 0.974)
  Cluster 131: 61 statements (persistence: 0.928)
  Cluster 134: 61 statements (persistence: 0.950)
  Cluster 138: 61 statements (persistence: 0.941)
  Cluster 172: 61 statements (persistence: 0.924)
  Cluster 79: 60 statements (persistence: 0.796)
  Cluster 20: 59 statements (persistence: 0.744)
  Cluster 100: 59 statements (persistence: 0.914)
  Cluster 125: 59 statements (persistence: 0.705)
  Cluster 144: 59 statements (persistence: 0.924)
  Cluster 167: 59 statements (persistence: 0.987)
  Cluster 97: 58 statements (persistence: 0.881)
  Cluster 116: 58 statements (persistence: 0.779)
  Cluster 137: 58 statements (persistence: 0.886)
  Cluster 182: 57 statements (persistence: 0.943)
  Cluster 64: 56 statements (persistence: 0.798)
  Cluster 102: 56 statements (persistence: 0.984)
  Cluster 135: 56 statements (persistence: 0.956)
  Cluster 120: 55 statements (persistence: 0.813)
  Cluster 156: 55 statements (persistence: 0.828)
  Cluster 15: 54 statements (persistence: 0.841)
  Cluster 34: 54 statements (persistence: 0.916)
  Cluster 58: 53 statements (persistence: 0.969)
  Cluster 54: 52 statements (persistence: 0.791)
  Cluster 57: 52 statements (persistence: 0.763)
  Cluster 66: 52 statements (persistence: 0.857)
  Cluster 157: 52 statements (persistence: 0.538)
  Cluster 160: 52 statements (persistence: 0.940)
  Cluster 59: 51 statements (persistence: 0.731)
  Cluster 162: 51 statements (persistence: 0.973)
  Cluster 187: 51 statements (persistence: 0.927)
  Cluster 69: 50 statements (persistence: 0.980)
  Cluster 82: 50 statements (persistence: 0.868)
  Cluster 146: 50 statements (persistence: 0.842)
  Cluster 169: 49 statements (persistence: 0.869)
  Cluster 31: 48 statements (persistence: 0.937)
  Cluster 44: 48 statements (persistence: 0.902)
  Cluster 72: 48 statements (persistence: 0.814)
  Cluster 174: 48 statements (persistence: 0.878)
  Cluster 93: 47 statements (persistence: 0.908)
  Cluster 110: 47 statements (persistence: 0.562)
  Cluster 180: 47 statements (persistence: 0.973)
  Cluster 87: 46 statements (persistence: 0.922)
  Cluster 122: 46 statements (persistence: 0.976)
  Cluster 126: 46 statements (persistence: 0.976)
  Cluster 26: 45 statements (persistence: 0.749)
  Cluster 48: 45 statements (persistence: 0.876)
  Cluster 61: 45 statements (persistence: 0.830)
  Cluster 68: 45 statements (persistence: 0.966)
  Cluster 118: 45 statements (persistence: 0.935)
  Cluster 139: 45 statements (persistence: 0.556)
  Cluster 185: 45 statements (persistence: 0.929)
  Cluster 74: 44 statements (persistence: 0.678)
  Cluster 119: 44 statements (persistence: 0.876)
  Cluster 153: 44 statements (persistence: 0.835)
  Cluster 28: 43 statements (persistence: 0.993)
  Cluster 33: 43 statements (persistence: 0.802)
  Cluster 84: 43 statements (persistence: 0.898)
  Cluster 124: 43 statements (persistence: 0.605)
  Cluster 140: 43 statements (persistence: 0.980)
  Cluster 149: 43 statements (persistence: 0.973)
  Cluster 45: 42 statements (persistence: 0.919)
  Cluster 50: 42 statements (persistence: 0.963)
  Cluster 55: 42 statements (persistence: 0.595)
  Cluster 114: 42 statements (persistence: 0.824)
  Cluster 163: 42 statements (persistence: 0.988)
  Cluster 170: 42 statements (persistence: 0.962)
  Cluster 177: 42 statements (persistence: 0.970)
  Cluster 9: 41 statements (persistence: 0.993)
  Cluster 78: 41 statements (persistence: 0.895)
  Cluster 104: 41 statements (persistence: 0.664)
  Cluster 173: 41 statements (persistence: 0.942)
  Cluster 186: 41 statements (persistence: 0.913)
  Cluster 83: 40 statements (persistence: 0.750)
  Cluster 152: 40 statements (persistence: 0.650)
  Cluster 13: 39 statements (persistence: 0.921)
  Cluster 51: 39 statements (persistence: 1.000)
  Cluster 86: 39 statements (persistence: 0.758)
  Cluster 117: 39 statements (persistence: 0.958)
  Cluster 132: 39 statements (persistence: 0.858)
  Cluster 136: 39 statements (persistence: 0.970)
  Cluster 184: 39 statements (persistence: 0.993)
  Cluster 18: 38 statements (persistence: 0.902)
  Cluster 53: 38 statements (persistence: 0.982)
  Cluster 95: 38 statements (persistence: 0.702)
  Cluster 115: 38 statements (persistence: 0.950)
  Cluster 130: 38 statements (persistence: 0.963)
  Cluster 141: 38 statements (persistence: 0.981)
  Cluster 161: 38 statements (persistence: 0.726)
  Cluster 22: 37 statements (persistence: 0.986)
  Cluster 29: 37 statements (persistence: 0.892)
  Cluster 32: 37 statements (persistence: 0.971)
  Cluster 42: 37 statements (persistence: 0.985)
  Cluster 75: 37 statements (persistence: 0.939)
  Cluster 47: 36 statements (persistence: 0.974)
  Cluster 63: 36 statements (persistence: 0.973)
  Cluster 71: 36 statements (persistence: 0.943)
  Cluster 112: 36 statements (persistence: 0.982)
  Cluster 2: 35 statements (persistence: 0.920)
  Cluster 8: 35 statements (persistence: 0.912)
  Cluster 70: 35 statements (persistence: 0.813)
  Cluster 108: 35 statements (persistence: 0.919)
  Cluster 176: 35 statements (persistence: 0.985)
  Cluster 14: 34 statements (persistence: 0.995)
  Cluster 43: 34 statements (persistence: 0.981)
  Cluster 85: 34 statements (persistence: 0.985)
  Cluster 103: 34 statements (persistence: 0.958)
  Cluster 10: 33 statements (persistence: 0.986)
  Cluster 40: 33 statements (persistence: 0.984)
  Cluster 52: 33 statements (persistence: 0.987)
  Cluster 94: 33 statements (persistence: 0.948)
  Cluster 111: 33 statements (persistence: 0.982)
  Cluster 148: 33 statements (persistence: 0.995)
  Cluster 1: 32 statements (persistence: 0.987)
  Cluster 4: 32 statements (persistence: 0.944)
  Cluster 37: 32 statements (persistence: 0.852)
  Cluster 129: 32 statements (persistence: 0.997)
  Cluster 133: 32 statements (persistence: 0.968)
  Cluster 16: 31 statements (persistence: 0.936)
  Cluster 19: 31 statements (persistence: 0.972)
  Cluster 46: 31 statements (persistence: 0.985)
  Cluster 80: 31 statements (persistence: 0.995)
  Cluster 158: 31 statements (persistence: 0.975)
  Cluster 0: 30 statements (persistence: 0.998)
  Cluster 7: 30 statements (persistence: 0.999)
  Cluster 30: 30 statements (persistence: 1.000)
  Cluster 36: 30 statements (persistence: 0.999)
  Cluster 41: 30 statements (persistence: 0.987)
  Cluster 49: 30 statements (persistence: 0.992)
  Cluster 90: 30 statements (persistence: 0.972)
  Cluster 92: 30 statements (persistence: 1.000)
  Cluster 101: 30 statements (persistence: 0.998)
  Cluster 127: 30 statements (persistence: 0.950)
  Cluster 5: 29 statements (persistence: 1.000)
  Cluster 12: 29 statements (persistence: 1.000)
  Cluster 17: 29 statements (persistence: 0.990)
  Cluster 65: 29 statements (persistence: 0.990)
  Cluster 121: 29 statements (persistence: 1.000)
  Cluster 123: 29 statements (persistence: 1.000)
  Cluster 128: 29 statements (persistence: 0.998)
  Cluster 151: 29 statements (persistence: 1.000)
  Cluster 3: 28 statements (persistence: 1.000)
  Cluster 11: 28 statements (persistence: 0.987)
  Cluster 35: 28 statements (persistence: 1.000)
  Cluster 56: 28 statements (persistence: 1.000)
  Cluster 60: 28 statements (persistence: 1.000)
  Cluster 62: 28 statements (persistence: 0.995)
  Cluster 76: 28 statements (persistence: 0.998)
  Cluster 88: 28 statements (persistence: 1.000)
  Cluster 155: 28 statements (persistence: 1.000)
